Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
Q96MX6	WDR92_HUMAN	WDR92	WD repeat-containing protein 92	3.06337e+06	2.87475e+06	2.77508e+06	1.7271e+06		2.50367e+06
Q96N11	CG026_HUMAN	C7orf26	Uncharacterized protein C7orf26	527013	363081	373748	343720	331087	251982
Q96N21	AP4AT_HUMAN	TEPSIN	AP-4 complex accessory subunit Tepsin	1.42818e+06	1.38935e+06	1.65035e+06	1.24451e+06	1.47167e+06	1.24324e+06
Q96N64	PWP2A_HUMAN	PWWP2A	PWWP domain-containing protein 2A	181190	150783	164759	180334	179876	130403
Q96N66	MBOA7_HUMAN	MBOAT7	Lysophospholipid acyltransferase 7	1.12469e+07	1.13228e+07	1.09279e+07	1.10578e+07	1.09712e+07	1.02801e+07
Q96N67	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7	1.72152e+06	2.0172e+06	1.783e+06	1.8841e+06	1.80934e+06	1.71748e+06
Q96NB3	ZN830_HUMAN	ZNF830	Zinc finger protein 830	1.62537e+06	1.71637e+06	1.42894e+06	902696	1.16834e+06	1.27776e+06
Q96NC0	ZMAT2_HUMAN	ZMAT2	Zinc finger matrin-type protein 2	5.50562e+06	6.24284e+06	5.51617e+06	4.89147e+06	5.66774e+06	6.31306e+06
Q96P11	NSUN5_HUMAN	NSUN5	28S rRNA (cytosine-C(5))-methyltransferase	1.581e+07	1.69184e+07	1.72415e+07	1.58734e+07	1.69537e+07	1.68871e+07
Q96P16	RPR1A_HUMAN	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A	5.21595e+06	5.27371e+06	5.42682e+06	4.62561e+06	4.53556e+06	5.12081e+06
Q96P47	AGAP3_HUMAN	AGAP3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3	803585	447537	678100	898369	717605	800433
Q96P48	ARAP1_HUMAN	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	1.19497e+06	1.25189e+06	1.16168e+06	1.13059e+06	1.18978e+06	1.35012e+06
Q96P70	IPO9_HUMAN	IPO9	Importin-9	2.44218e+07	2.40904e+07	2.59416e+07	2.30186e+07	2.44519e+07	2.37119e+07
Q96PE7	MCEE_HUMAN	MCEE	Methylmalonyl-CoA epimerase, mitochondrial	1.36986e+06	953775	1.1229e+06	1.00256e+06	788542	950959
Q96PK6	RBM14_HUMAN	RBM14	RNA-binding protein 14	4.9313e+07	5.03731e+07	5.11518e+07	4.81912e+07	4.975e+07	5.08097e+07
Q96PM5	ZN363_HUMAN	RCHY1	RING finger and CHY zinc finger domain-containing protein 1	650641		559751		407251	575686
Q96PU4	UHRF2_HUMAN	UHRF2	E3 ubiquitin-protein ligase UHRF2	8.45114e+06	8.37772e+06	7.85088e+06	7.5016e+06	7.56025e+06	7.94089e+06
Q96PU5	NED4L_HUMAN	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like	954663	716172	692432	772751	524402	745712
Q96PU8	QKI_HUMAN	QKI	Protein quaking	5.68176e+06	5.55136e+06	5.58278e+06	5.52851e+06	5.27952e+06	4.89907e+06
Q96PY5	FMNL2_HUMAN	FMNL2	Formin-like protein 2	824378	741066	583811	937700	558779	968216
Q96PZ0	PUS7_HUMAN	PUS7	Pseudouridylate synthase 7 homolog	1.11351e+07	1.10517e+07	1.14868e+07	1.09108e+07	1.07488e+07	1.05242e+07
Q96Q05	TPPC9_HUMAN	TRAPPC9	Trafficking protein particle complex subunit 9						1.19525e+06
Q96Q11	TRNT1_HUMAN	TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial	4.36018e+06	4.42841e+06	4.24735e+06	4.17791e+06	4.04515e+06	4.32832e+06
Q96Q15	SMG1_HUMAN	SMG1	Serine/threonine-protein kinase SMG1	6.7772e+06	3.95031e+06	5.27225e+06	3.71128e+06	4.75222e+06	4.34308e+06
Q96QC0	PP1RA_HUMAN	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	4.45316e+06	4.4831e+06	4.22648e+06	4.33679e+06	4.00038e+06	4.2927e+06
Q96QD5	DEPD7_HUMAN	DEPDC7	DEP domain-containing protein 7	1.25765e+06	760182	807981	950273	956321	1.06601e+06
Q96QD8	S38A2_HUMAN	SLC38A2	Sodium-coupled neutral amino acid transporter 2	5.05355e+06	5.06337e+06	5.4195e+06	4.89718e+06	4.87414e+06	5.5888e+06
Q96QD9	UIF_HUMAN	FYTTD1	UAP56-interacting factor	1.59116e+06	2.52012e+06	1.61493e+06	1.53975e+06	1.87088e+06	1.74222e+06
Q96QE2	MYCT_HUMAN	SLC2A13	Proton myo-inositol cotransporter	1.51262e+06	1.9819e+06	1.80874e+06	1.63919e+06	1.59475e+06	1.83279e+06
Q96QE5	TEFM_HUMAN	TEFM	Transcription elongation factor, mitochondrial			230035			
Q96QF0	RAB3I_HUMAN	RAB3IP	Rab-3A-interacting protein					5.87409e+06	
Q96QG7	MTMR9_HUMAN	MTMR9	Myotubularin-related protein 9	478450	625521	585051	474821	550176	747066
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35	2.73049e+07	2.71132e+07	2.75445e+07	2.65137e+07	2.58627e+07	2.69921e+07
Q96QR8	PURB_HUMAN	PURB	Transcriptional activator protein Pur-beta	4.98808e+06	5.13047e+06	5.34099e+06	5.0558e+06	5.33128e+06	4.73987e+06
Q96QT4	TRPM7_HUMAN	TRPM7	Transient receptor potential cation channel subfamily M member 7	571094	578624	578985	558969	465782	502314
Q96QU8	XPO6_HUMAN	XPO6	Exportin-6	2.56061e+06	2.3783e+06	2.13703e+06	2.39031e+06	2.33883e+06	2.66118e+06
Q96R06	SPAG5_HUMAN	SPAG5	Sperm-associated antigen 5	1.31885e+06	1.11908e+06	1.16182e+06	976522	1.29017e+06	1.24027e+06
Q96RE7	NACC1_HUMAN	NACC1	Nucleus accumbens-associated protein 1	4.02549e+06	3.85849e+06	3.65358e+06	3.71883e+06	3.71458e+06	3.67991e+06
Q96RF0	SNX18_HUMAN	SNX18	Sorting nexin-18	110136	85195.7		88347.1		126724
Q96RL1	UIMC1_HUMAN	UIMC1	BRCA1-A complex subunit RAP80	519198			709972		
Q96RL7	VP13A_HUMAN	VPS13A	Vacuolar protein sorting-associated protein 13A	2.35039e+06	1.53575e+06	2.26164e+06	2.17987e+06	2.36679e+06	1.9842e+06
Q96RN5	MED15_HUMAN	MED15	Mediator of RNA polymerase II transcription subunit 15	928139	876552	738820	891300	1.31168e+06	
Q96RP9	EFGM_HUMAN	GFM1	Elongation factor G, mitochondrial	1.18729e+07	1.11682e+07	1.15459e+07	1.12034e+07	1.11064e+07	1.09513e+07
Q96RQ1	ERGI2_HUMAN	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	3.96062e+06	3.5785e+06	3.14131e+06	3.5025e+06	3.35734e+06	3.84366e+06
Q96RQ3	MCCA_HUMAN	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	513862	551078	362977	581705	515714	397145
Q96RS0	TGS1_HUMAN	TGS1	Trimethylguanosine synthase	705473	737786	822208	763626	652370	813033
Q96RS6	NUDC1_HUMAN	NUDCD1	NudC domain-containing protein 1	7.20631e+06	7.2499e+06	7.27563e+06	7.06941e+06	6.93032e+06	6.42674e+06
Q96RT1	ERBIN_HUMAN	ERBIN	Erbin	971709	825363	1.02667e+06	1.08741e+06	1.028e+06	948603
Q96RU2	UBP28_HUMAN	USP28	Ubiquitin carboxyl-terminal hydrolase 28	2.0693e+06	2.36825e+06	2.39275e+06	2.28489e+06	2.6197e+06	2.16434e+06
Q96RU3	FNBP1_HUMAN	FNBP1	Formin-binding protein 1		77906	3.55538e+06	129761	2.90075e+06	1.38259e+06
Q96RU8	TRIB1_HUMAN	TRIB1	Tribbles homolog 1	366662	610660		360845		521402
Q96S19	MTL26_HUMAN	METTL26	Methyltransferase-like 26	1.62521e+06	1.41187e+06	1.63269e+06	1.54457e+06	1.41073e+06	1.59215e+06
Q96S44	PRPK_HUMAN	TP53RK	EKC/KEOPS complex subunit TP53RK	4.55097e+06	4.63042e+06	4.9886e+06	4.44122e+06	4.66644e+06	4.38575e+06
Q96S52	PIGS_HUMAN	PIGS	GPI transamidase component PIG-S	2.24579e+06	2.59481e+06	2.42398e+06	2.48599e+06	2.43849e+06	2.47246e+06
Q96S55	WRIP1_HUMAN	WRNIP1	ATPase WRNIP1	5.59728e+06	5.33254e+06	5.38239e+06	5.29818e+06	5.095e+06	5.07408e+06
Q96S59	RANB9_HUMAN	RANBP9	Ran-binding protein 9	907340	1.09254e+06	1.13122e+06	1.2284e+06	1.11514e+06	914181
Q96S66	CLCC1_HUMAN	CLCC1	Chloride channel CLIC-like protein 1	4.20773e+06	3.47226e+06	4.91211e+06	4.12026e+06	3.79145e+06	3.64259e+06
Q96S82	UBL7_HUMAN	UBL7	Ubiquitin-like protein 7	2.14102e+06	2.54213e+06	2.5929e+06	2.6101e+06	2.34825e+06	2.76209e+06
Q96S94	CCNL2_HUMAN	CCNL2	Cyclin-L2					421819	318167
Q96SB3	NEB2_HUMAN	PPP1R9B	Neurabin-2	1.45459e+06	1.73527e+06	1.73915e+06	1.50549e+06	1.16697e+06	1.43378e+06
Q96SB4	SRPK1_HUMAN	SRPK1	SRSF protein kinase 1	7.14456e+06	7.10684e+06	6.74685e+06	7.012e+06	7.0568e+06	7.11498e+06
Q96SB8	SMC6_HUMAN	SMC6	Structural maintenance of chromosomes protein 6	2.81812e+06	2.45543e+06	2.44209e+06	2.64796e+06	2.29073e+06	2.40712e+06
Q96SI1	KCD15_HUMAN	KCTD15	BTB/POZ domain-containing protein KCTD15	2.23392e+06	2.26584e+06	2.25369e+06	1.84284e+06	2.37333e+06	1.84839e+06
Q96SI9	STRBP_HUMAN	STRBP	Spermatid perinuclear RNA-binding protein	4.92519e+06	5.25749e+06	5.53838e+06	4.90798e+06	5.05185e+06	4.79939e+06
Q96SK2	TM209_HUMAN	TMEM209	Transmembrane protein 209	4.3768e+06	4.27166e+06	3.99346e+06	4.74444e+06	4.06187e+06	3.67473e+06
Q96SL1	DIRC2_HUMAN	SLC49A4	Solute carrier family 49 member 4	988107	1.25081e+06	1.14364e+06	977711		1.23071e+06
Q96SN8	CK5P2_HUMAN	CDK5RAP2	CDK5 regulatory subunit-associated protein 2	364071	182607	248960	194214	296533	185716
Q96ST2	IWS1_HUMAN	IWS1	Protein IWS1 homolog	2.73489e+06	2.92947e+06	2.99904e+06	2.60376e+06	2.76031e+06	2.67142e+06
Q96ST3	SIN3A_HUMAN	SIN3A	Paired amphipathic helix protein Sin3a	5.04173e+06	4.9837e+06	4.54933e+06	4.7791e+06	4.83572e+06	4.66442e+06
Q96SU4	OSBL9_HUMAN	OSBPL9	Oxysterol-binding protein-related protein 9	4.06777e+06	3.91561e+06	4.15771e+06	3.72967e+06	3.9166e+06	4.31923e+06
Q96SW2	CRBN_HUMAN	CRBN	Protein cereblon	468277	439399	292127	472370	413917	455384
Q96SY0	INT14_HUMAN	INTS14	Integrator complex subunit 14	2.72314e+06	2.9988e+06	3.17411e+06	2.97421e+06	2.89224e+06	2.83332e+06
Q96SZ5	AEDO_HUMAN	ADO	2-aminoethanethiol dioxygenase	4.35468e+06	4.32008e+06	4.85806e+06	4.3076e+06	4.50719e+06	3.94416e+06
Q96SZ6	CK5P1_HUMAN	CDK5RAP1	Mitochondrial tRNA methylthiotransferase CDK5RAP1	165870	274462	268550	182307	130997	151507
Q96T21	SEBP2_HUMAN	SECISBP2	Selenocysteine insertion sequence-binding protein 2	1.28045e+07	1.11174e+07	1.21361e+07	1.22828e+07	1.11328e+07	1.08001e+07
Q96T23	RSF1_HUMAN	RSF1	Remodeling and spacing factor 1	3.65534e+06	3.67485e+06	3.58993e+06	3.45325e+06	3.45388e+06	3.63861e+06
Q96T37	RBM15_HUMAN	RBM15	RNA-binding protein 15	1.04893e+07	1.02875e+07	1.018e+07	1.00866e+07	1.04068e+07	1.0286e+07
Q96T51	RUFY1_HUMAN	RUFY1	RUN and FYVE domain-containing protein 1	6.39813e+06	6.19272e+06	6.52045e+06	6.41224e+06	6.31829e+06	6.1786e+06
Q96T58	MINT_HUMAN	SPEN	Msx2-interacting protein	1.52139e+06	1.51602e+06	1.48368e+06	1.4336e+06	1.42728e+06	1.33156e+06
Q96T60	PNKP_HUMAN	PNKP	Bifunctional polynucleotide phosphatase/kinase	2.475e+06	2.42065e+06	2.23948e+06	2.40473e+06	2.16399e+06	1.87994e+06
Q96T76	MMS19_HUMAN	MMS19	MMS19 nucleotide excision repair protein homolog	4.2048e+06	4.28972e+06	4.25511e+06	4.05128e+06	4.0885e+06	4.26355e+06
Q96T88	UHRF1_HUMAN	UHRF1	E3 ubiquitin-protein ligase UHRF1	1.34316e+07	1.35358e+07	1.31074e+07	1.23155e+07	1.292e+07	1.2613e+07
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	2.29036e+07	2.31641e+07	2.31541e+07	2.20172e+07	2.18329e+07	2.14443e+07
Q96TA2	YMEL1_HUMAN	YME1L1	ATP-dependent zinc metalloprotease YME1L1	1.82371e+06	1.94312e+06	1.62427e+06	2.03448e+06	1.86353e+06	1.69796e+06
Q96TC7	RMD3_HUMAN	RMDN3	Regulator of microtubule dynamics protein 3	1.0269e+07	9.39077e+06	9.0784e+06	9.42706e+06	9.79003e+06	9.21424e+06
Q96VH4	HBN1_YEAST	HBN1	Putative nitroreductase HBN1	4.19554e+07	4.26462e+07	3.89724e+07	1.95031e+07	1.71376e+07	1.97624e+07
Q96VH5	MIC10_YEAST	MIC10	MICOS complex subunit MIC10	1.28201e+07	1.2189e+07	1.06432e+07	6.329e+06	6.20842e+06	5.74568e+06
Q99081	HTF4_HUMAN	TCF12	Transcription factor 12	1.36216e+07	1.24038e+07	9.01813e+06	1.48244e+07	1.14774e+07	9.86304e+06
Q99190	TECR_YEAST	TSC13	Very-long-chain enoyl-CoA reductase	601146	647014	703954	327485		
Q99210	NTPPA_YEAST	YOR111W	dTTP/UTP pyrophosphatase	1.83162e+06	1.89484e+06	2.52892e+06			
Q99257	MEX67_YEAST	MEX67	mRNA export factor MEX67	1.36842e+06	1.28273e+06	1.58569e+06	630129	776074	849556
Q99258	RIB3_YEAST	RIB3	3,4-dihydroxy-2-butanone 4-phosphate synthase	1.05397e+07	1.25071e+07	1.26279e+07	4.69215e+06	4.21935e+06	5.05302e+06
Q99260	YPT6_YEAST	YPT6	GTP-binding protein YPT6	1.53938e+06	1.45949e+06	1.20813e+06		437744	
Q99287	SEY1_YEAST	SEY1	Protein SEY1	469142	644506	509639	235507	193179	209382
Q99288	DET1_YEAST	DET1	Broad-range acid phosphatase DET1	1.38709e+06		1.22327e+06	705378		
Q99312	ISN1_YEAST	ISN1	IMP-specific 5'-nucleotidase 1	1.62309e+06	1.78014e+06	1.41118e+06	616755		1.05904e+06
Q99321	DDP1_YEAST	DDP1	Diphosphoinositol polyphosphate phosphohydrolase DDP1	3.32887e+06	3.18551e+06	3.50964e+06	1.66372e+06	1.73034e+06	1.67563e+06
Q99325	ATG40_YEAST	ATG40	Autophagy-related protein 40	437363	364793	355368			
Q99369	FSH3_YEAST	FSH3	Family of serine hydrolases 3	1.29746e+06	1.54991e+06	1.60999e+06	1.07618e+06	1.21772e+06	1.14035e+06
Q99383	HRP1_YEAST	HRP1	Nuclear polyadenylated RNA-binding protein 4	7.16667e+06	7.09439e+06	7.26909e+06	3.1614e+06	4.15366e+06	3.83838e+06
Q99394	TRS33_YEAST	TRS33	Trafficking protein particle complex subunit 33					159621	
Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	1.24267e+07	1.15968e+07	1.23135e+07	1.15052e+07	1.28657e+07	1.19212e+07
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B	9.08443e+06	8.6564e+06	9.53008e+06	8.67998e+06	9.12071e+06	9.38013e+06
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	5.34823e+07	5.47115e+07	5.29905e+07	4.90171e+07	5.22746e+07	5.07501e+07
Q99439	CNN2_HUMAN	CNN2	Calponin-2	5.42697e+06	6.00412e+06	5.79835e+06	5.55337e+06	5.54067e+06	6.05094e+06
Q99442	SEC62_HUMAN	SEC62	Translocation protein SEC62	5.67044e+06	5.66954e+06	5.49753e+06	5.52354e+06	4.81329e+06	5.35435e+06
Q99447	PCY2_HUMAN	PCYT2	Ethanolamine-phosphate cytidylyltransferase	556351	574336	717311	745375	747844	704008
Q99453	PHX2B_HUMAN	PHOX2B	Paired mesoderm homeobox protein 2B	70932	79313.8	82381.6	43603	53712.5	59320
Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	1.27739e+07	1.19168e+07	1.22006e+07	1.21449e+07	1.20586e+07	1.17658e+07
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	2.59968e+07	2.68562e+07	2.66977e+07	2.48604e+07	2.63417e+07	2.61896e+07
Q99470	SDF2_HUMAN	SDF2	Stromal cell-derived factor 2	2.55651e+06	2.50024e+06	2.53716e+06	2.0154e+06	2.44271e+06	2.49279e+06
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	1.32828e+07	1.42402e+07	1.5132e+07	1.38193e+07	1.41071e+07	1.48654e+07
Q99490	AGAP2_HUMAN	AGAP2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	1.74097e+06	1.58927e+06	1.55695e+06	1.55294e+06	1.39291e+06	928683
Q99496	RING2_HUMAN	RNF2	E3 ubiquitin-protein ligase RING2	2.40538e+06	2.67999e+06	2.13474e+06	2.6971e+06	2.56712e+06	2.26056e+06
Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	1.03928e+08	1.06519e+08	1.01323e+08	9.93591e+07	1.01404e+08	1.01923e+08
Q99504	EYA3_HUMAN	EYA3	Eyes absent homolog 3			1.68941e+06			
Q99523	SORT_HUMAN	SORT1	Sortilin	621602	304826	581590	534472	656986	518134
Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	1.45047e+07	1.4162e+07	1.47485e+07	1.41182e+07	1.43271e+07	1.4125e+07
Q99541	PLIN2_HUMAN	PLIN2	Perilipin-2	7.28865e+06	6.70333e+06	6.91636e+06	6.41585e+06	6.7159e+06	6.26532e+06
Q99543	DNJC2_HUMAN	DNAJC2	DnaJ homolog subfamily C member 2	6.32544e+06	5.90618e+06	6.71879e+06	5.89536e+06	6.46034e+06	6.10056e+06
Q99547	MPH6_HUMAN	MPHOSPH6	M-phase phosphoprotein 6	8.09233e+06	9.07253e+06	8.7231e+06	7.83291e+06	8.24734e+06	7.65479e+06
Q99549	MPP8_HUMAN	MPHOSPH8	M-phase phosphoprotein 8	1.19168e+06	1.43028e+06	1.25118e+06	1.36715e+06	1.30113e+06	1.0775e+06
Q99567	NUP88_HUMAN	NUP88	Nuclear pore complex protein Nup88	8.04894e+06	8.09202e+06	8.21783e+06	7.9533e+06	8.08843e+06	7.85867e+06
Q99569	PKP4_HUMAN	PKP4	Plakophilin-4	368819	339531	347359	278753	346324	349842
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	949804	1.17497e+06	1.12714e+06	1.03e+06	994241	1.12187e+06
Q99575	POP1_HUMAN	POP1	Ribonucleases P/MRP protein subunit POP1	3.62091e+06	3.53694e+06	3.34166e+06	3.65737e+06	3.55128e+06	3.29976e+06
Q99583	MNT_HUMAN	MNT	Max-binding protein MNT	1.41483e+08	1.30641e+08	1.20277e+08	1.27561e+08	1.4975e+08	1.16377e+08
Q99584	S10AD_HUMAN	S100A13	Protein S100-A13	3.59363e+07	3.76183e+07	3.82498e+07	3.59271e+07	3.76852e+07	3.87239e+07
Q99590	SCAFB_HUMAN	SCAF11	Protein SCAF11	4.22143e+06	4.39921e+06	4.55343e+06	4.64404e+06	4.55545e+06	4.68875e+06
Q99595	TI17A_HUMAN	TIMM17A	Mitochondrial import inner membrane translocase subunit Tim17-A	1.67408e+06	1.46403e+06	1.65966e+06	1.51371e+06	1.51587e+06	1.44454e+06
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X	5.55833e+06	5.54165e+06	5.36085e+06	5.66853e+06	5.3305e+06	5.2917e+06
Q99611	SPS2_HUMAN	SEPHS2	Selenide, water dikinase 2	401597		597545	677430	429838	355121
Q99613	EIF3C_HUMAN	EIF3C	Eukaryotic translation initiation factor 3 subunit C	3.03843e+07	3.06959e+07	2.97608e+07	2.93818e+07	2.96307e+07	2.87655e+07
Q99614	TTC1_HUMAN	TTC1	Tetratricopeptide repeat protein 1	3.26678e+07	3.13994e+07	3.22069e+07	3.16566e+07	3.04204e+07	3.07039e+07
Q99615	DNJC7_HUMAN	DNAJC7	DnaJ homolog subfamily C member 7	7.61646e+06	7.61715e+06	6.87088e+06	7.73433e+06	7.30282e+06	6.80851e+06
Q99618	CDCA3_HUMAN	CDCA3	Cell division cycle-associated protein 3	790628	803294	451535	671878	755766	644511
Q99622	C10_HUMAN	C12orf57	Protein C10	3.1433e+06	3.26743e+06	3.42822e+06	3.05527e+06	3.20965e+06	3.19368e+06
Q99623	PHB2_HUMAN	PHB2	Prohibitin-2	7.63833e+07	7.72755e+07	7.88613e+07	7.74937e+07	7.82362e+07	7.56704e+07
Q99627	CSN8_HUMAN	COPS8	COP9 signalosome complex subunit 8	4.60028e+06	4.16398e+06	4.18286e+06	4.59592e+06	4.43148e+06	4.55746e+06
Q99633	PRP18_HUMAN	PRPF18	Pre-mRNA-splicing factor 18	557398	295614	665691	246389	639256	408553
Q99638	RAD9A_HUMAN	RAD9A	Cell cycle checkpoint control protein RAD9A	794389	598302	580044	686314	686290	549948
Q99640	PMYT1_HUMAN	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	286485	288668	157789	153927	335787	171381
Q99643	C560_HUMAN	SDHC	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	1.23872e+07	1.27606e+07	1.52111e+07	1.18673e+07	1.31573e+07	1.26854e+07
Q99650	OSMR_HUMAN	OSMR	Oncostatin-M-specific receptor subunit beta	597953	517627	696297	626168	535181	541049
Q99653	CHP1_HUMAN	CHP1	Calcineurin B homologous protein 1	1.87708e+06	2.24772e+06	2.09987e+06	2.04909e+06	2.0112e+06	1.76069e+06
Q99661	KIF2C_HUMAN	KIF2C	Kinesin-like protein KIF2C	8.10585e+06	8.01674e+06	7.81443e+06	7.74886e+06	7.67147e+06	7.60237e+06
Q99685	MGLL_HUMAN	MGLL	Monoglyceride lipase	833375	881152	795050	792514	869674	840247
Q99700	ATX2_HUMAN	ATXN2	Ataxin-2	2.07739e+07	1.8121e+07	1.83885e+07	1.92953e+07	2.04788e+07	1.84607e+07
Q99707	METH_HUMAN	MTR	Methionine synthase	2.62689e+06	2.35776e+06	2.02443e+06	2.14168e+06	2.2478e+06	1.8977e+06
Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	4.33066e+07	4.23269e+07	4.27466e+07	4.29736e+07	4.40405e+07	4.24797e+07
Q99715	COCA1_HUMAN	COL12A1	Collagen alpha-1(XII) chain	487135	647853		587552	526473	749302
Q99720	SGMR1_HUMAN	SIGMAR1	Sigma non-opioid intracellular receptor 1	9.14483e+06	8.77326e+06	9.8992e+06	9.08489e+06	9.5276e+06	9.28799e+06
Q99729	ROAA_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	1.27323e+08	1.29354e+08	1.24097e+08	1.23635e+08	1.25975e+08	1.27074e+08
Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4	9.89398e+07	9.13247e+07	8.3009e+07	9.2001e+07	9.38664e+07	9.11495e+07
Q99735	MGST2_HUMAN	MGST2	Microsomal glutathione S-transferase 2	9.59245e+06	1.11937e+07	1.34667e+07	8.8788e+06	9.50726e+06	1.15262e+07
Q99747	SNAG_HUMAN	NAPG	Gamma-soluble NSF attachment protein	2.21746e+06	2.22054e+06	2.09647e+06	2.0973e+06	2.35091e+06	2.07613e+06
Q99755	PI51A_HUMAN	PIP5K1A	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	2.43382e+06	3.8706e+06	2.56625e+06	3.23754e+06	3.88893e+06	3.72581e+06
Q99757	THIOM_HUMAN	TXN2	Thioredoxin, mitochondrial	1.15855e+06	1.7464e+06	1.37826e+06	1.44082e+06	1.55991e+06	
Q99766	ATP5S_HUMAN	DMAC2L	ATP synthase subunit s, mitochondrial	1.14314e+06	1.07497e+06	938446	1.13293e+06	1.14164e+06	1.0269e+06
Q99797	MIPEP_HUMAN	MIPEP	Mitochondrial intermediate peptidase	3.14565e+06	3.34144e+06	3.63729e+06	3.15874e+06	3.05124e+06	2.63644e+06
Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	1.03639e+07	1.02744e+07	1.07289e+07	1.00939e+07	1.00065e+07	1.00262e+07
Q99805	TM9S2_HUMAN	TM9SF2	Transmembrane 9 superfamily member 2	4.44662e+06	4.2487e+06	4.02636e+06	4.19541e+06	3.90578e+06	4.06275e+06
Q99807	COQ7_HUMAN	COQ7	5-demethoxyubiquinone hydroxylase, mitochondrial	1.19554e+06	1.00292e+06	1.2419e+06	934813	1.26927e+06	1.04826e+06
Q99808	S29A1_HUMAN	SLC29A1	Equilibrative nucleoside transporter 1	5.11155e+06	5.87977e+06	6.72181e+06	4.94766e+06	4.73786e+06	5.1759e+06
Q99816	TS101_HUMAN	TSG101	Tumor susceptibility gene 101 protein	3.99361e+06	3.76189e+06	3.79382e+06	4.08684e+06	3.90534e+06	3.61385e+06
Q99829	CPNE1_HUMAN	CPNE1	Copine-1	2.01679e+07	2.03359e+07	2.0486e+07	1.93366e+07	2.01613e+07	1.975e+07
Q99832	TCPH_HUMAN	CCT7	T-complex protein 1 subunit eta	5.15947e+07	5.37614e+07	5.44824e+07	5.10277e+07	5.30035e+07	5.2569e+07
Q99848	EBP2_HUMAN	EBNA1BP2	Probable rRNA-processing protein EBP2	2.84412e+07	2.85292e+07	2.91092e+07	2.8846e+07	2.93887e+07	2.98157e+07
Q99871	HAUS7_HUMAN	HAUS7	HAUS augmin-like complex subunit 7	692052	894556	666195	847937	646083	602722
Q99873	ANM1_HUMAN	PRMT1	Protein arginine N-methyltransferase 1	2.4937e+07	2.53243e+07	2.59881e+07	2.3574e+07	2.40205e+07	2.44014e+07
Q99933	BAG1_HUMAN	BAG1	BAG family molecular chaperone regulator 1	1.56824e+07	1.53524e+07	1.36159e+07	1.48619e+07	1.51871e+07	1.51762e+07
