Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190320yix_KRUK_DIA_b6_15.mzML
Q9NS15	LTBP3_HUMAN	LTBP3	Latent-transforming growth factor beta-binding protein 3	544260
Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	1.9596e+07
Q9NS71	GKN1_HUMAN	GKN1	Gastrokine-1	4.67351e+06
Q9NS86	LANC2_HUMAN	LANCL2	LanC-like protein 2	4.06531e+06
Q9NSA3	CNBP1_HUMAN	CTNNBIP1	Beta-catenin-interacting protein 1	6.77604e+06
Q9NSC7	SIA7A_HUMAN	ST6GALNAC1	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	3.27626e+06
Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	3.49221e+07
Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	1.31634e+08
Q9NSK0	KLC4_HUMAN	KLC4	Kinesin light chain 4	1.16743e+07
Q9NSU2	TREX1_HUMAN	TREX1	Three-prime repair exonuclease 1	1.98921e+06
Q9NSY1	BMP2K_HUMAN	BMP2K	BMP-2-inducible protein kinase	5.4034e+06
Q9NSY2	STAR5_HUMAN	STARD5	StAR-related lipid transfer protein 5	1.7361e+06
Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	1.78197e+07
Q9NTG7	SIR3_HUMAN	SIRT3	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	1.72717e+06
Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B	1.60117e+07
Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	3.95372e+06
Q9NTJ4	MA2C1_HUMAN	MAN2C1	Alpha-mannosidase 2C1	2.55458e+06
Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	1.4216e+07
Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	2.82588e+07
Q9NTM9	CUTC_HUMAN	CUTC	Copper homeostasis protein cutC homolog	1.62298e+06
Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	1.73309e+07
Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	2.87441e+07
Q9NUB1	ACS2L_HUMAN	ACSS1	Acetyl-coenzyme A synthetase 2-like, mitochondrial	2.9639e+07
Q9NUD5	ZCHC3_HUMAN	ZCCHC3	Zinc finger CCHC domain-containing protein 3	139326
Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	3.61636e+07
Q9NUJ3	T11L1_HUMAN	TCP11L1	T-complex protein 11-like protein 1	3.83306e+06
Q9NUL3	STAU2_HUMAN	STAU2	Double-stranded RNA-binding protein Staufen homolog 2	2.31292e+06
Q9NUM4	T106B_HUMAN	TMEM106B	Transmembrane protein 106B	3.56078e+06
Q9NUP1	BL1S4_HUMAN	BLOC1S4	Biogenesis of lysosome-related organelles complex 1 subunit 4	671947
Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	7.90284e+06
Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	1.24405e+07
Q9NUQ3	TXLNG_HUMAN	TXLNG	Gamma-taxilin	3.01865e+06
Q9NUQ6	SPS2L_HUMAN	SPATS2L	SPATS2-like protein	2.11454e+07
Q9NUQ7	UFSP2_HUMAN	UFSP2	Ufm1-specific protease 2	2.39758e+06
Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3	1.92615e+07
Q9NUQ9	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	4.16125e+07
Q9NUU6	OTULL_HUMAN	OTULINL	Inactive ubiquitin thioesterase OTULINL	2.68098e+06
Q9NUU7	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	1.9065e+07
Q9NUV9	GIMA4_HUMAN	GIMAP4	GTPase IMAP family member 4	4.16057e+07
Q9NUY8	TBC23_HUMAN	TBC1D23	TBC1 domain family member 23	1.48192e+07
Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13	1.17181e+07
Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	6.78407e+06
Q9NV35	NUD15_HUMAN	NUDT15	Nucleotide triphosphate diphosphatase NUDT15	3.86091e+06
Q9NV56	MRGBP_HUMAN	MRGBP	MRG/MORF4L-binding protein	2.82835e+06
Q9NV70	EXOC1_HUMAN	EXOC1	Exocyst complex component 1	9.77938e+06
Q9NV96	CC50A_HUMAN	TMEM30A	Cell cycle control protein 50A	1.25975e+07
Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	1.02212e+08
Q9NVA4	T184C_HUMAN	TMEM184C	Transmembrane protein 184C	5.43383e+06
Q9NVC6	MED17_HUMAN	MED17	Mediator of RNA polymerase II transcription subunit 17	5.60287e+06
Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin	1.07325e+08
Q9NVE7	PANK4_HUMAN	PANK4	4'-phosphopantetheine phosphatase	7.12356e+07
Q9NVH0	EXD2_HUMAN	EXD2	Exonuclease 3'-5' domain-containing protein 2	9.01932e+06
Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	8.51991e+06
Q9NVH2	INT7_HUMAN	INTS7	Integrator complex subunit 7	2.56486e+06
Q9NVH6	TMLH_HUMAN	TMLHE	Trimethyllysine dioxygenase, mitochondrial	8.09336e+06
Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	5.50206e+08
Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	3.0421e+07
Q9NVK5	FGOP2_HUMAN	FGFR1OP2	FGFR1 oncogene partner 2	782575
Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17	3.06627e+06
Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	1.18337e+07
Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	2.38558e+07
Q9NVQ4	FAIM1_HUMAN	FAIM	Fas apoptotic inhibitory molecule 1	6.87498e+06
Q9NVR2	INT10_HUMAN	INTS10	Integrator complex subunit 10	2.2715e+06
Q9NVS2	RT18A_HUMAN	MRPS18A	Large ribosomal subunit protein mL66	4.87411e+06
Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase	7.84741e+06
Q9NVT9	ARMC1_HUMAN	ARMC1	Armadillo repeat-containing protein 1	7.22656e+06
Q9NVU0	RPC5_HUMAN	POLR3E	DNA-directed RNA polymerase III subunit RPC5	8.15519e+06
Q9NVU7	SDA1_HUMAN	SDAD1	Protein SDA1 homolog	6.44718e+06
Q9NVV4	PAPD1_HUMAN	MTPAP	Poly(A) RNA polymerase, mitochondrial	3.815e+06
Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1	8.44715e+06
Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2	1.43009e+07
Q9NW08	RPC2_HUMAN	POLR3B	DNA-directed RNA polymerase III subunit RPC2	1.98982e+06
Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28	3.53319e+06
Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	8.81386e+06
Q9NW68	BSDC1_HUMAN	BSDC1	BSD domain-containing protein 1	3.66386e+06
Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	7.64032e+06
Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1	2.19869e+07
Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator	1.64427e+07
Q9NWQ8	PHAG1_HUMAN	PAG1	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1	80457.4
Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1	2.1855e+07
Q9NWS6	F118A_HUMAN	FAM118A	Protein FAM118A	4.18757e+06
Q9NWS8	RMND1_HUMAN	RMND1	Required for meiotic nuclear division protein 1 homolog	715558
Q9NWT1	PK1IP_HUMAN	PAK1IP1	p21-activated protein kinase-interacting protein 1	6.82987e+06
Q9NWU1	OXSM_HUMAN	OXSM	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	1.218e+06
Q9NWU2	GID8_HUMAN	GID8	Glucose-induced degradation protein 8 homolog	4.61836e+06
Q9NWU5	RM22_HUMAN	MRPL22	Large ribosomal subunit protein uL22m	5.54778e+06
Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein	1.81654e+07
Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1	7.00222e+06
Q9NWW5	CLN6_HUMAN	CLN6	Ceroid-lipofuscinosis neuronal protein 6	6.70765e+06
Q9NWY4	HPF1_HUMAN	HPF1	Histone PARylation factor 1	5.0315e+06
Q9NWZ3	IRAK4_HUMAN	IRAK4	Interleukin-1 receptor-associated kinase 4	6.4574e+06
Q9NWZ5	UCKL1_HUMAN	UCKL1	Uridine-cytidine kinase-like 1	4.02238e+06
Q9NWZ8	GEMI8_HUMAN	GEMIN8	Gem-associated protein 8	1.45858e+06
Q9NX01	TXN4B_HUMAN	TXNL4B	Thioredoxin-like protein 4B	455125
Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	1.78233e+07
Q9NX20	RM16_HUMAN	MRPL16	Large ribosomal subunit protein uL16m	6.75732e+06
Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	1.06908e+07
Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	3.68765e+07
Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	1.32732e+07
Q9NX52	RHBL2_HUMAN	RHBDL2	Rhomboid-related protein 2	889095
Q9NX55	HYPK_HUMAN	HYPK	Huntingtin-interacting protein K	4.75758e+06
Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	7.25702e+06
Q9NX62	IMPA3_HUMAN	BPNT2	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase	1.22168e+07
Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	6.98314e+07
Q9NXA8	SIR5_HUMAN	SIRT5	NAD-dependent protein deacylase sirtuin-5, mitochondrial	5.32319e+06
Q9NXC5	MIO_HUMAN	MIOS	GATOR complex protein MIOS	2.83804e+06
Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	5.32625e+06
Q9NXE8	CWC25_HUMAN	CWC25	Pre-mRNA-splicing factor CWC25 homolog	898197
Q9NXF1	TEX10_HUMAN	TEX10	Testis-expressed protein 10	1.93791e+07
Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1	1.75387e+07
Q9NXG6	P4HTM_HUMAN	P4HTM	Transmembrane prolyl 4-hydroxylase	2.60153e+06
Q9NXH8	TOR4A_HUMAN	TOR4A	Torsin-4A	2.41624e+06
Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	2.90174e+06
Q9NXN4	GDAP2_HUMAN	GDAP2	Ganglioside-induced differentiation-associated protein 2	3.87858e+06
Q9NXR1	NDE1_HUMAN	NDE1	Nuclear distribution protein nudE homolog 1	4.91992e+06
Q9NXR7	BABA2_HUMAN	BABAM2	BRISC and BRCA1-A complex member 2	5.56411e+06
Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein	3.79064e+06
Q9NXW2	DJB12_HUMAN	DNAJB12	DnaJ homolog subfamily B member 12	1.00587e+07
Q9NXW9	ALKB4_HUMAN	ALKBH4	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4	2.36132e+07
Q9NXX6	NSE4A_HUMAN	NSMCE4A	Non-structural maintenance of chromosomes element 4 homolog A	3.99851e+06
Q9NY12	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1	1.00086e+07
Q9NY15	STAB1_HUMAN	STAB1	Stabilin-1	1.08142e+07
Q9NY27	PP4R2_HUMAN	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	7.7885e+06
Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	4.28491e+07
Q9NY59	NSMA2_HUMAN	SMPD3	Sphingomyelin phosphodiesterase 3	374905
Q9NY61	AATF_HUMAN	AATF	Protein AATF	2.75192e+06
Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56	4.28608e+06
Q9NYB0	TE2IP_HUMAN	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1	3.95421e+06
Q9NYB9	ABI2_HUMAN	ABI2	Abl interactor 2	5.07176e+06
Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	2.11648e+07
Q9NYJ8	TAB2_HUMAN	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	413689
Q9NYK5	RM39_HUMAN	MRPL39	Large ribosomal subunit protein mL39	9.67394e+06
Q9NYL2	M3K20_HUMAN	MAP3K20	Mitogen-activated protein kinase kinase kinase 20	2.69862e+06
Q9NYL4	FKB11_HUMAN	FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11	1.08017e+07
Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	4.10887e+07
Q9NYQ8	FAT2_HUMAN	FAT2	Protocadherin Fat 2	8.64349e+07
Q9NYR9	KBRS2_HUMAN	NKIRAS2	NF-kappa-B inhibitor-interacting Ras-like protein 2	3.30434e+06
Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	3.1952e+07
Q9NYV4	CDK12_HUMAN	CDK12	Cyclin-dependent kinase 12	8.56395e+06
Q9NYV6	RRN3_HUMAN	RRN3	RNA polymerase I-specific transcription initiation factor RRN3	4.51685e+06
Q9NYY8	FAKD2_HUMAN	FASTKD2	FAST kinase domain-containing protein 2, mitochondrial	459467
Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	1.15067e+07
Q9NZ08	ERAP1_HUMAN	ERAP1	Endoplasmic reticulum aminopeptidase 1	6.00569e+07
Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10	3.28251e+06
Q9NZ43	USE1_HUMAN	USE1	Vesicle transport protein USE1	6.54454e+06
Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1	1.88826e+07
Q9NZ52	GGA3_HUMAN	GGA3	ADP-ribosylation factor-binding protein GGA3	1.74308e+06
Q9NZ63	TLS1_HUMAN	C9orf78	Splicing factor C9orf78	2.2842e+07
Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	3.62063e+07
Q9NZC3	GDE1_HUMAN	GDE1	Glycerophosphodiester phosphodiesterase 1	748655
Q9NZC9	SMAL1_HUMAN	SMARCAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	4.33021e+06
Q9NZD2	GLTP_HUMAN	GLTP	Glycolipid transfer protein	3.44894e+06
Q9NZD4	AHSP_HUMAN	AHSP	Alpha-hemoglobin-stabilizing protein	70391.8
Q9NZD8	SPG21_HUMAN	SPG21	Maspardin	9.20377e+06
Q9NZJ6	COQ3_HUMAN	COQ3	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	1.23927e+06
Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1	1.83037e+07
Q9NZJ9	NUDT4_HUMAN	NUDT4	Diphosphoinositol polyphosphate phosphohydrolase 2	5.89409e+06
Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	1.30174e+07
Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	7.14216e+07
Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	7.37136e+07
Q9NZM3	ITSN2_HUMAN	ITSN2	Intersectin-2	3.60422e+06
Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2	9.98736e+07
Q9NZN5	ARHGC_HUMAN	ARHGEF12	Rho guanine nucleotide exchange factor 12	3.42045e+06
Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	1.02423e+07
Q9NZQ3	SPN90_HUMAN	NCKIPSD	NCK-interacting protein with SH3 domain	2.12232e+06
Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor	8.37244e+06
Q9NZU5	LMCD1_HUMAN	LMCD1	LIM and cysteine-rich domains protein 1	1.89271e+07
Q9P000	COMD9_HUMAN	COMMD9	COMM domain-containing protein 9	7.56463e+06
Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog	3.35473e+06
Q9P015	RM15_HUMAN	MRPL15	Large ribosomal subunit protein uL15m	1.21692e+07
Q9P016	THYN1_HUMAN	THYN1	Thymocyte nuclear protein 1	2.47031e+07
Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	7.59087e+06
Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	2.37175e+07
Q9P086	MED11_HUMAN	MED11	Mediator of RNA polymerase II transcription subunit 11	4.78923e+06
Q9P0I2	EMC3_HUMAN	EMC3	ER membrane protein complex subunit 3	2.76873e+06
Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	2.30509e+07
Q9P0J1	PDP1_HUMAN	PDP1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	2.14666e+07
Q9P0J7	KCMF1_HUMAN	KCMF1	E3 ubiquitin-protein ligase KCMF1	3.66207e+06
Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin	8.47939e+06
Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A	3.60368e+07
Q9P0M6	H2AW_HUMAN	MACROH2A2	Core histone macro-H2A.2	3.48074e+07
Q9P0M9	RM27_HUMAN	MRPL27	Large ribosomal subunit protein bL27m	8.71648e+06
Q9P0P0	RN181_HUMAN	RNF181	E3 ubiquitin-protein ligase RNF181	7.15971e+06
Q9P0P8	MRES1_HUMAN	MTRES1	Mitochondrial transcription rescue factor 1	4.67924e+06
Q9P0T7	TMEM9_HUMAN	TMEM9	Proton-transporting V-type ATPase complex assembly regulator TMEM9	7.00016e+06
Q9P0U4	CXXC1_HUMAN	CXXC1	CXXC-type zinc finger protein 1	1.4851e+07
Q9P0V3	SH3B4_HUMAN	SH3BP4	SH3 domain-binding protein 4	8.37655e+06
Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10	1.22583e+07
Q9P107	GMIP_HUMAN	GMIP	GEM-interacting protein	2.62773e+06
Q9P1Y5	CAMP3_HUMAN	CAMSAP3	Calmodulin-regulated spectrin-associated protein 3	2.00435e+06
Q9P1Z2	CACO1_HUMAN	CALCOCO1	Calcium-binding and coiled-coil domain-containing protein 1	1.92153e+06
Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522	2.1979e+07
Q9P253	VPS18_HUMAN	VPS18	Vacuolar protein sorting-associated protein 18 homolog	9.44649e+06
Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	4.06045e+07
Q9P260	RELCH_HUMAN	RELCH	RAB11-binding protein RELCH	3.91087e+06
Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B	9.04024e+06
Q9P266	JCAD_HUMAN	JCAD	Junctional cadherin 5-associated protein	1.64603e+06
Q9P270	SLAI2_HUMAN	SLAIN2	SLAIN motif-containing protein 2	2.17842e+07
Q9P275	UBP36_HUMAN	USP36	Ubiquitin carboxyl-terminal hydrolase 36	4.87818e+08
Q9P281	BAHC1_HUMAN	BAHCC1	BAH and coiled-coil domain-containing protein 1	1.12041e+08
Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein	7.87671e+06
Q9P289	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26	2.47442e+07
Q9P2A4	ABI3_HUMAN	ABI3	ABI gene family member 3	7.91746e+07
Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	9.44051e+06
Q9P2B4	CT2NL_HUMAN	CTTNBP2NL	CTTNBP2 N-terminal-like protein	1.67637e+06
Q9P2D3	HTR5B_HUMAN	HEATR5B	HEAT repeat-containing protein 5B	5.42598e+06
Q9P2E3	ZNFX1_HUMAN	ZNFX1	NFX1-type zinc finger-containing protein 1	879893
Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	1.1609e+08
Q9P2F6	RHG20_HUMAN	ARHGAP20	Rho GTPase-activating protein 20	5.35659e+07
Q9P2G1	AKIB1_HUMAN	ANKIB1	Ankyrin repeat and IBR domain-containing protein 1	3.52317e+06
Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	2.27154e+07
Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic	2.01528e+07
Q9P2K3	RCOR3_HUMAN	RCOR3	REST corepressor 3	2.21166e+06
Q9P2K6	KLH42_HUMAN	KLHL42	Kelch-like protein 42	6.81866e+06
Q9P2M7	CING_HUMAN	CGN	Cingulin	1.26322e+08
Q9P2N2	RHG28_HUMAN	ARHGAP28	Rho GTPase-activating protein 28	5.6997e+07
Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27	4.96231e+07
Q9P2P1	NYNRI_HUMAN	NYNRIN	Protein NYNRIN	3.61035e+08
Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5	1.93139e+07
Q9P2R7	SUCB1_HUMAN	SUCLA2	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	1.33049e+07
Q9P2T1	GMPR2_HUMAN	GMPR2	GMP reductase 2	1.28016e+07
Q9P2W9	STX18_HUMAN	STX18	Syntaxin-18	3.95358e+06
Q9P2Y5	UVRAG_HUMAN	UVRAG	UV radiation resistance-associated gene protein	1.33847e+06
Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10	4.34043e+07
Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2	7.72449e+06
Q9UBB6	NCDN_HUMAN	NCDN	Neurochondrin	1.89251e+06
Q9UBB9	TFP11_HUMAN	TFIP11	Tuftelin-interacting protein 11	2.24381e+06
Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	1.67398e+07
Q9UBD5	ORC3_HUMAN	ORC3	Origin recognition complex subunit 3	1.92887e+06
Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	7.14008e+07
Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2	4.65966e+06
Q9UBF8	PI4KB_HUMAN	PI4KB	Phosphatidylinositol 4-kinase beta	3.3313e+06
Q9UBG0	MRC2_HUMAN	MRC2	C-type mannose receptor 2	1.77393e+07
Q9UBI1	COMD3_HUMAN	COMMD3	COMM domain-containing protein 3	1.04745e+07
Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	1.01718e+08
Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2	4.6572e+06
Q9UBN7	HDAC6_HUMAN	HDAC6	Histone deacetylase 6	6.33346e+06
Q9UBP0	SPAST_HUMAN	SPAST	Spastin	9.27921e+06
Q9UBP6	TRMB_HUMAN	METTL1	tRNA (guanine-N(7)-)-methyltransferase	656811
Q9UBP9	GULP1_HUMAN	GULP1	PTB domain-containing engulfment adapter protein 1	4.41385e+06
Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29	3.78413e+07
Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K	2.24467e+07
Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase	3.06285e+07
Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z	1.33114e+08
Q9UBS0	KS6B2_HUMAN	RPS6KB2	Ribosomal protein S6 kinase beta-2	1.34213e+06
Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	3.69367e+07
Q9UBS8	RNF14_HUMAN	RNF14	E3 ubiquitin-protein ligase RNF14	5.53258e+06
Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2	5.96008e+07
Q9UBU9	NXF1_HUMAN	NXF1	Nuclear RNA export factor 1	1.51808e+07
Q9UBV2	SE1L1_HUMAN	SEL1L	Protein sel-1 homolog 1	9.71239e+06
Q9UBV7	B4GT7_HUMAN	B4GALT7	Beta-1,4-galactosyltransferase 7	619061
Q9UBV8	PEF1_HUMAN	PEF1	Peflin	2.70085e+07
Q9UBW5	BIN2_HUMAN	BIN2	Bridging integrator 2	2.9799e+06
Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a	1.52438e+07
Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier	1.44722e+07
Q9UBX5	FBLN5_HUMAN	FBLN5	Fibulin-5	2.41008e+08
Q9UD71	PPR1B_HUMAN	PPP1R1B	Protein phosphatase 1 regulatory subunit 1B	955575
Q9UDT6	CLIP2_HUMAN	CLIP2	CAP-Gly domain-containing linker protein 2	9.1921e+06
Q9UDX5	MTFP1_HUMAN	MTFP1	Mitochondrial fission process protein 1	1.45845e+06
Q9UDY2	ZO2_HUMAN	TJP2	Tight junction protein ZO-2	2.11018e+08
Q9UDY4	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4	3.78583e+06
Q9UEE9	CFDP1_HUMAN	CFDP1	Craniofacial development protein 1	6.31635e+06
Q9UEG4	ZN629_HUMAN	ZNF629	Zinc finger protein 629	1.55614e+06
Q9UER7	DAXX_HUMAN	DAXX	Death domain-associated protein 6	6.76849e+06
Q9UEU0	VTI1B_HUMAN	VTI1B	Vesicle transport through interaction with t-SNAREs homolog 1B	7.15717e+06
Q9UEW8	STK39_HUMAN	STK39	STE20/SPS1-related proline-alanine-rich protein kinase	7.0157e+06
Q9UEY8	ADDG_HUMAN	ADD3	Gamma-adducin	4.59952e+07
Q9UFC0	LRWD1_HUMAN	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1	2.48061e+07
Q9UFN0	NPS3A_HUMAN	NIPSNAP3A	Protein NipSnap homolog 3A	1.53371e+07
Q9UFW8	CGBP1_HUMAN	CGGBP1	CGG triplet repeat-binding protein 1	1.34816e+07
Q9UG63	ABCF2_HUMAN	ABCF2	ATP-binding cassette sub-family F member 2	1.34917e+07
Q9UGI8	TES_HUMAN	TES	Testin	4.97557e+07
Q9UGK3	STAP2_HUMAN	STAP2	Signal-transducing adaptor protein 2	2.14489e+06
Q9UGN5	PARP2_HUMAN	PARP2	Poly [ADP-ribose] polymerase 2	1.46615e+06
Q9UGP4	LIMD1_HUMAN	LIMD1	LIM domain-containing protein 1	5.8985e+06
