Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
Q9HBM6	TAF9B_HUMAN	TAF9B	Transcription initiation factor TFIID subunit 9B	1.40684e+06
Q9HC07	TM165_HUMAN	TMEM165	Transmembrane protein 165	2.51928e+06
Q9HC21	TPC_HUMAN	SLC25A19	Mitochondrial thiamine pyrophosphate carrier	3.46349e+06
Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	2.77558e+07
Q9HC36	MRM3_HUMAN	MRM3	rRNA methyltransferase 3, mitochondrial	5.62878e+06
Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	4.15652e+07
Q9HC52	CBX8_HUMAN	CBX8	Chromobox protein homolog 8	1.05967e+07
Q9HC77	CENPJ_HUMAN	CENPJ	Centromere protein J	1.74107e+07
Q9HCB6	SPON1_HUMAN	SPON1	Spondin-1	1.39638e+06
Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	2.69873e+07
Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	1.63649e+07
Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	8.89059e+06
Q9HCE5	MET14_HUMAN	METTL14	N6-adenosine-methyltransferase non-catalytic subunit	5.98453e+06
Q9HCG7	GBA2_HUMAN	GBA2	Non-lysosomal glucosylceramidase	742159
Q9HCG8	CWC22_HUMAN	CWC22	Pre-mRNA-splicing factor CWC22 homolog	5.88427e+06
Q9HCJ0	TNR6C_HUMAN	TNRC6C	Trinucleotide repeat-containing gene 6C protein	1.24827e+07
Q9HCJ3	RAVR2_HUMAN	RAVER2	Ribonucleoprotein PTB-binding 2	1.0393e+07
Q9HCJ6	VAT1L_HUMAN	VAT1L	Synaptic vesicle membrane protein VAT-1 homolog-like	1.79291e+06
Q9HCK4	ROBO2_HUMAN	ROBO2	Roundabout homolog 2	1.96378e+06
Q9HCK8	CHD8_HUMAN	CHD8	Chromodomain-helicase-DNA-binding protein 8	8.52348e+06
Q9HCM3	K1549_HUMAN	KIAA1549	UPF0606 protein KIAA1549	217574
Q9HCM4	E41L5_HUMAN	EPB41L5	Band 4.1-like protein 5	1.01074e+06
Q9HCM7	FBSL_HUMAN	FBRSL1	Fibrosin-1-like protein	1.50947e+06
Q9HCN4	GPN1_HUMAN	GPN1	GPN-loop GTPase 1	9.42112e+06
Q9HCN8	SDF2L_HUMAN	SDF2L1	Stromal cell-derived factor 2-like protein 1	3.65046e+06
Q9HCP0	KC1G1_HUMAN	CSNK1G1	Casein kinase I isoform gamma-1	515809
Q9HCS7	SYF1_HUMAN	XAB2	Pre-mRNA-splicing factor SYF1	7.31222e+06
Q9HCU0	CD248_HUMAN	CD248	Endosialin	2.42808e+06
Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein	3.91368e+06
Q9HCU9	BRMS1_HUMAN	BRMS1	Breast cancer metastasis-suppressor 1	1.22702e+06
Q9HCY8	S10AE_HUMAN	S100A14	Protein S100-A14	1.97144e+06
Q9HD15	SRA1_HUMAN	SRA1	Steroid receptor RNA activator 1	2.9469e+06
Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	1.78171e+07
Q9HD23	MRS2_HUMAN	MRS2	Magnesium transporter MRS2 homolog, mitochondrial	523766
Q9HD26	GOPC_HUMAN	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein	3.70521e+06
Q9HD33	RM47_HUMAN	MRPL47	Large ribosomal subunit protein uL29m	1.32614e+07
Q9HD34	LYRM4_HUMAN	LYRM4	LYR motif-containing protein 4	1.04962e+07
Q9HD42	CHM1A_HUMAN	CHMP1A	Charged multivesicular body protein 1a	1.42218e+07
Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	8.46477e+06
Q9HD47	MOG1_HUMAN	RANGRF	Ran guanine nucleotide release factor	1.55142e+06
Q9HD89	RETN_HUMAN	RETN	Resistin	9.38485e+06
Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	1.85557e+07
Q9NNW5	WDR6_HUMAN	WDR6	tRNA (34-2'-O)-methyltransferase regulator WDR6	3.20621e+06
Q9NNW7	TRXR2_HUMAN	TXNRD2	Thioredoxin reductase 2, mitochondrial	5.6072e+06
Q9NP58	ABCB6_HUMAN	ABCB6	ATP-binding cassette sub-family B member 6	2.14027e+06
Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3	3.94192e+06
Q9NP64	ZCC17_HUMAN	ZCCHC17	Zinc finger CCHC domain-containing protein 17	1.63416e+06
Q9NP66	HM20A_HUMAN	HMG20A	High mobility group protein 20A	4.3371e+06
Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	9.49704e+06
Q9NP73	ALG13_HUMAN	ALG13	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13	1.24284e+06
Q9NP74	PALMD_HUMAN	PALMD	Palmdelphin	2.46643e+06
Q9NP77	SSU72_HUMAN	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	1.67544e+07
Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	1.91849e+07
Q9NP80	PLPL8_HUMAN	PNPLA8	Calcium-independent phospholipase A2-gamma	5.98604e+06
Q9NP81	SYSM_HUMAN	SARS2	Serine--tRNA ligase, mitochondrial	9.64361e+06
Q9NP92	RT30_HUMAN	MRPS30	Large ribosomal subunit protein mL65	3.85826e+06
Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	2.34895e+07
Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7	1.95811e+07
Q9NPA8	ENY2_HUMAN	ENY2	Transcription and mRNA export factor ENY2	3.3818e+07
Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	1.53142e+07
Q9NPD8	UBE2T_HUMAN	UBE2T	Ubiquitin-conjugating enzyme E2 T	3.30394e+06
Q9NPE2	NGRN_HUMAN	NGRN	Neugrin	593220
Q9NPE3	NOP10_HUMAN	NOP10	H/ACA ribonucleoprotein complex subunit 3	3.345e+07
Q9NPF4	OSGEP_HUMAN	OSGEP	tRNA N6-adenosine threonylcarbamoyltransferase	2.01729e+07
Q9NPF5	DMAP1_HUMAN	DMAP1	DNA methyltransferase 1-associated protein 1	6.30362e+06
Q9NPH0	PPA6_HUMAN	ACP6	Lysophosphatidic acid phosphatase type 6	4.8307e+06
Q9NPH2	INO1_HUMAN	ISYNA1	Inositol-3-phosphate synthase 1	3.48369e+07
Q9NPI1	BRD7_HUMAN	BRD7	Bromodomain-containing protein 7	389857
Q9NPI6	DCP1A_HUMAN	DCP1A	mRNA-decapping enzyme 1A	6.81524e+06
Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	3.44742e+07
Q9NPJ6	MED4_HUMAN	MED4	Mediator of RNA polymerase II transcription subunit 4	3.61772e+06
Q9NPJ8	NXT2_HUMAN	NXT2	NTF2-related export protein 2	2.42296e+06
Q9NPL8	TIDC1_HUMAN	TIMMDC1	Complex I assembly factor TIMMDC1, mitochondrial	5.94787e+06
Q9NPQ8	RIC8A_HUMAN	RIC8A	Synembryn-A	1.04956e+07
Q9NPR2	SEM4B_HUMAN	SEMA4B	Semaphorin-4B	3.95596e+06
Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1	4.27807e+06
Q9NQ48	LZTL1_HUMAN	LZTFL1	Leucine zipper transcription factor-like protein 1	7.13723e+06
Q9NQ50	RM40_HUMAN	MRPL40	Large ribosomal subunit protein mL40	6.79804e+06
Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog	1.19459e+07
Q9NQ88	TIGAR_HUMAN	TIGAR	Fructose-2,6-bisphosphatase TIGAR	6.9135e+06
Q9NQ92	COPRS_HUMAN	COPRS	Coordinator of PRMT5 and differentiation stimulator	476898
Q9NQA3	WASH6_HUMAN	WASH6P	WAS protein family homolog 6	2.40906e+06
Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	3.69912e+07
Q9NQC8	IFT46_HUMAN	IFT46	Intraflagellar transport protein 46 homolog	942426
Q9NQE9	HINT3_HUMAN	HINT3	Adenosine 5'-monophosphoramidase HINT3	1.27686e+07
Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	2.92424e+07
Q9NQH7	XPP3_HUMAN	XPNPEP3	Xaa-Pro aminopeptidase 3	4.44995e+06
Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	1.26e+07
Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2	4.75327e+07
Q9NQS7	INCE_HUMAN	INCENP	Inner centromere protein	1.44694e+06
Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46	6.99261e+06
Q9NQT5	EXOS3_HUMAN	EXOSC3	Exosome complex component RRP40	3.62124e+06
Q9NQT8	KI13B_HUMAN	KIF13B	Kinesin-like protein KIF13B	1.52529e+07
Q9NQV6	PRD10_HUMAN	PRDM10	PR domain zinc finger protein 10	1.14343e+06
Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	3.6882e+07
Q9NQX3	GEPH_HUMAN	GPHN	Gephyrin	5.65958e+06
Q9NQX4	MYO5C_HUMAN	MYO5C	Unconventional myosin-Vc	1.2398e+07
Q9NQX7	ITM2C_HUMAN	ITM2C	Integral membrane protein 2C	2.21388e+06
Q9NQZ2	SAS10_HUMAN	UTP3	Something about silencing protein 10	2.87433e+07
Q9NQZ5	STAR7_HUMAN	STARD7	StAR-related lipid transfer protein 7, mitochondrial	2.95692e+06
Q9NR09	BIRC6_HUMAN	BIRC6	Baculoviral IAP repeat-containing protein 6	2.13241e+06
Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	1.06086e+07
Q9NR19	ACSA_HUMAN	ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic	3.45853e+06
Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	3.50221e+07
Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	1.02029e+08
Q9NR31	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	2.68703e+07
Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	3.26886e+07
Q9NR46	SHLB2_HUMAN	SH3GLB2	Endophilin-B2	7.64504e+06
Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma	1.6778e+07
Q9NR56	MBNL1_HUMAN	MBNL1	Muscleblind-like protein 1	1.91886e+07
Q9NR99	MXRA5_HUMAN	MXRA5	Matrix-remodeling-associated protein 5	1.00866e+06
Q9NRA8	4ET_HUMAN	EIF4ENIF1	Eukaryotic translation initiation factor 4E transporter	293791
Q9NRD5	PICK1_HUMAN	PICK1	PRKCA-binding protein	1.23466e+06
Q9NRF2	SH2B1_HUMAN	SH2B1	SH2B adapter protein 1	1.13521e+06
Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2	7.97779e+06
Q9NRF9	DPOE3_HUMAN	POLE3	DNA polymerase epsilon subunit 3	9.56132e+06
Q9NRG0	CHRC1_HUMAN	CHRAC1	Chromatin accessibility complex protein 1	2.01248e+07
Q9NRG1	PRDC1_HUMAN	PRTFDC1	Phosphoribosyltransferase domain-containing protein 1	3.67652e+06
Q9NRG4	SMYD2_HUMAN	SMYD2	N-lysine methyltransferase SMYD2	783711
Q9NRG7	D39U1_HUMAN	SDR39U1	Epimerase family protein SDR39U1	3.406e+06
Q9NRG9	AAAS_HUMAN	AAAS	Aladin	7.83495e+06
Q9NRK6	ABCBA_HUMAN	ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial	3.15234e+06
Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A	2.75122e+06
Q9NRN5	OLFL3_HUMAN	OLFML3	Olfactomedin-like protein 3	3.11607e+06
Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	1.22382e+07
Q9NRP0	OSTC_HUMAN	OSTC	Oligosaccharyltransferase complex subunit OSTC	2.94988e+06
Q9NRR3	C42S2_HUMAN	CDC42SE2	CDC42 small effector protein 2	621656
Q9NRR5	UBQL4_HUMAN	UBQLN4	Ubiquilin-4	1.00193e+07
Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	7.84201e+07
Q9NRW1	RAB6B_HUMAN	RAB6B	Ras-related protein Rab-6B	5.52599e+06
Q9NRW3	ABC3C_HUMAN	APOBEC3C	DNA dC->dU-editing enzyme APOBEC-3C	1.3516e+06
Q9NRW7	VPS45_HUMAN	VPS45	Vacuolar protein sorting-associated protein 45	9.67611e+06
Q9NRX1	PNO1_HUMAN	PNO1	RNA-binding protein PNO1	7.08943e+06
Q9NRX2	RM17_HUMAN	MRPL17	Large ribosomal subunit protein bL17m	2.93552e+07
Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase	1.31074e+07
Q9NRY2	SOSSC_HUMAN	INIP	SOSS complex subunit C	1.00709e+07
Q9NRY5	F1142_HUMAN	FAM114A2	Protein FAM114A2	802365
Q9NRZ7	PLCC_HUMAN	AGPAT3	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	2.7352e+06
Q9NRZ9	HELLS_HUMAN	HELLS	Lymphoid-specific helicase	428738
Q9NS25	SPNXB_HUMAN	SPANXB1	Sperm protein associated with the nucleus on the X chromosome B1	1.68967e+07
Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	3.13864e+07
Q9NS73	MBIP1_HUMAN	MBIP	MAP3K12-binding inhibitory protein 1	1.43098e+06
Q9NS86	LANC2_HUMAN	LANCL2	LanC-like protein 2	4.34118e+06
Q9NS93	TM7S3_HUMAN	TM7SF3	Transmembrane 7 superfamily member 3	3.06236e+06
Q9NSA3	CNBP1_HUMAN	CTNNBIP1	Beta-catenin-interacting protein 1	4.56123e+06
Q9NSC5	HOME3_HUMAN	HOMER3	Homer protein homolog 3	8.54771e+06
Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	5.35734e+07
Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	3.40862e+07
Q9NSI2	SLX9_HUMAN	SLX9	Ribosome biogenesis protein SLX9 homolog	971966
Q9NSK0	KLC4_HUMAN	KLC4	Kinesin light chain 4	6.68406e+06
Q9NSY1	BMP2K_HUMAN	BMP2K	BMP-2-inducible protein kinase	415024
Q9NT22	EMIL3_HUMAN	EMILIN3	EMILIN-3	3.69723e+06
Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	7.10039e+06
Q9NTG7	SIR3_HUMAN	SIRT3	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	2.21226e+06
Q9NTI2	AT8A2_HUMAN	ATP8A2	Phospholipid-transporting ATPase IB	1.09925e+07
Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B	2.40359e+07
Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	2.33864e+06
Q9NTJ4	MA2C1_HUMAN	MAN2C1	Alpha-mannosidase 2C1	1.54372e+06
Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	7.25434e+06
Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	5.35244e+07
Q9NTM9	CUTC_HUMAN	CUTC	Copper homeostasis protein cutC homolog	1.24377e+07
Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	1.64508e+07
Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	4.59428e+07
Q9NU19	TB22B_HUMAN	TBC1D22B	TBC1 domain family member 22B	1.63619e+06
Q9NU22	MDN1_HUMAN	MDN1	Midasin	9.67811e+06
Q9NU23	LYRM2_HUMAN	LYRM2	LYR motif-containing protein 2	4.44824e+06
Q9NUA8	ZBT40_HUMAN	ZBTB40	Zinc finger and BTB domain-containing protein 40	2.66977e+06
Q9NUB1	ACS2L_HUMAN	ACSS1	Acetyl-coenzyme A synthetase 2-like, mitochondrial	6.46494e+06
Q9NUD5	ZCHC3_HUMAN	ZCCHC3	Zinc finger CCHC domain-containing protein 3	2.99559e+06
Q9NUE0	ZDH18_HUMAN	ZDHHC18	Palmitoyltransferase ZDHHC18	427494
Q9NUG6	PDRG1_HUMAN	PDRG1	p53 and DNA damage-regulated protein 1	1.69796e+06
Q9NUI1	DECR2_HUMAN	DECR2	Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]	4.24844e+06
Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	1.22675e+07
Q9NUJ3	T11L1_HUMAN	TCP11L1	T-complex protein 11-like protein 1	1.43177e+06
Q9NUL3	STAU2_HUMAN	STAU2	Double-stranded RNA-binding protein Staufen homolog 2	1.08614e+07
Q9NUL7	DDX28_HUMAN	DDX28	Probable ATP-dependent RNA helicase DDX28	1.40331e+07
Q9NUM4	T106B_HUMAN	TMEM106B	Transmembrane protein 106B	8.33856e+06
Q9NUP1	BL1S4_HUMAN	BLOC1S4	Biogenesis of lysosome-related organelles complex 1 subunit 4	2.59307e+06
Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	2.61402e+07
Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	1.75858e+07
Q9NUQ3	TXLNG_HUMAN	TXLNG	Gamma-taxilin	6.04524e+06
Q9NUQ6	SPS2L_HUMAN	SPATS2L	SPATS2-like protein	4.5356e+06
Q9NUQ7	UFSP2_HUMAN	UFSP2	Ufm1-specific protease 2	1.22162e+06
Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3	2.09208e+07
Q9NUQ9	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	3.05227e+07
Q9NUT2	MITOS_HUMAN	ABCB8	Mitochondrial potassium channel ATP-binding subunit	8.5918e+06
Q9NUU7	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	2.23558e+07
Q9NUW8	TYDP1_HUMAN	TDP1	Tyrosyl-DNA phosphodiesterase 1	2.49355e+06
Q9NUY8	TBC23_HUMAN	TBC1D23	TBC1 domain family member 23	1.74068e+06
Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13	1.04941e+07
Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	1.63823e+07
Q9NV56	MRGBP_HUMAN	MRGBP	MRG/MORF4L-binding protein	6.78566e+06
Q9NV70	EXOC1_HUMAN	EXOC1	Exocyst complex component 1	3.73744e+07
Q9NV88	INT9_HUMAN	INTS9	Integrator complex subunit 9	3.34516e+06
Q9NV96	CC50A_HUMAN	TMEM30A	Cell cycle control protein 50A	1.10429e+06
Q9NVA1	UQCC1_HUMAN	UQCC1	Ubiquinol-cytochrome-c reductase complex assembly factor 1	387755
Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	5.27276e+07
Q9NVC6	MED17_HUMAN	MED17	Mediator of RNA polymerase II transcription subunit 17	1.95562e+07
Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin	5.49087e+06
Q9NVE5	UBP40_HUMAN	USP40	Ubiquitin carboxyl-terminal hydrolase 40	1.32857e+06
Q9NVE7	PANK4_HUMAN	PANK4	4'-phosphopantetheine phosphatase	4.06289e+07
Q9NVG8	TBC13_HUMAN	TBC1D13	TBC1 domain family member 13	686649
Q9NVH0	EXD2_HUMAN	EXD2	Exonuclease 3'-5' domain-containing protein 2	4.34196e+06
Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	2.52729e+07
Q9NVH2	INT7_HUMAN	INTS7	Integrator complex subunit 7	5.59217e+06
Q9NVH6	TMLH_HUMAN	TMLHE	Trimethyllysine dioxygenase, mitochondrial	1.49891e+07
Q9NVI1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein	1.17463e+06
Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	5.98705e+07
Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	1.44913e+07
Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17	4.19597e+06
Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	1.49707e+07
Q9NVN8	GNL3L_HUMAN	GNL3L	Guanine nucleotide-binding protein-like 3-like protein	1.31895e+06
Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	2.21501e+07
Q9NVP2	ASF1B_HUMAN	ASF1B	Histone chaperone ASF1B	3.54863e+06
Q9NVQ4	FAIM1_HUMAN	FAIM	Fas apoptotic inhibitory molecule 1	2.27451e+06
Q9NVR2	INT10_HUMAN	INTS10	Integrator complex subunit 10	4.91208e+06
Q9NVS2	RT18A_HUMAN	MRPS18A	Large ribosomal subunit protein mL66	1.53148e+07
Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase	7.05539e+06
Q9NVT9	ARMC1_HUMAN	ARMC1	Armadillo repeat-containing protein 1	2.4907e+07
Q9NVU0	RPC5_HUMAN	POLR3E	DNA-directed RNA polymerase III subunit RPC5	2.86964e+06
Q9NVU7	SDA1_HUMAN	SDAD1	Protein SDA1 homolog	1.27686e+07
Q9NVV4	PAPD1_HUMAN	MTPAP	Poly(A) RNA polymerase, mitochondrial	1.04187e+07
Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1	1.07675e+07
Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2	1.48194e+07
Q9NW08	RPC2_HUMAN	POLR3B	DNA-directed RNA polymerase III subunit RPC2	8.67572e+06
Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28	1.06418e+07
Q9NW15	ANO10_HUMAN	ANO10	Anoctamin-10	412408
Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	8.36549e+06
Q9NW68	BSDC1_HUMAN	BSDC1	BSD domain-containing protein 1	599296
Q9NW81	DMAC2_HUMAN	DMAC2	Distal membrane-arm assembly complex protein 2	1.08393e+06
Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	5.94946e+06
Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1	1.09342e+07
Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator	1.29985e+07
Q9NWK9	BCD1_HUMAN	ZNHIT6	Box C/D snoRNA protein 1	3.21549e+06
Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1	6.52093e+06
Q9NWS6	F118A_HUMAN	FAM118A	Protein FAM118A	5.5728e+06
Q9NWS8	RMND1_HUMAN	RMND1	Required for meiotic nuclear division protein 1 homolog	6.4061e+06
Q9NWT1	PK1IP_HUMAN	PAK1IP1	p21-activated protein kinase-interacting protein 1	1.23708e+07
Q9NWT6	HIF1N_HUMAN	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	5.20663e+06
Q9NWU1	OXSM_HUMAN	OXSM	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	3.91297e+06
Q9NWU2	GID8_HUMAN	GID8	Glucose-induced degradation protein 8 homolog	5.97434e+06
Q9NWU5	RM22_HUMAN	MRPL22	Large ribosomal subunit protein uL22m	1.69636e+07
Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein	2.84515e+07
Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1	7.26619e+06
Q9NWX5	ASB6_HUMAN	ASB6	Ankyrin repeat and SOCS box protein 6	1.29291e+06
Q9NWX6	THG1_HUMAN	THG1L	Probable tRNA(His) guanylyltransferase	2.13357e+06
Q9NWY4	HPF1_HUMAN	HPF1	Histone PARylation factor 1	4.01426e+06
Q9NWZ3	IRAK4_HUMAN	IRAK4	Interleukin-1 receptor-associated kinase 4	2.3729e+06
Q9NWZ5	UCKL1_HUMAN	UCKL1	Uridine-cytidine kinase-like 1	2.86005e+06
Q9NWZ8	GEMI8_HUMAN	GEMIN8	Gem-associated protein 8	2.27901e+06
Q9NX01	TXN4B_HUMAN	TXNL4B	Thioredoxin-like protein 4B	777301
Q9NX02	NALP2_HUMAN	NLRP2	NACHT, LRR and PYD domains-containing protein 2	3.33041e+08
Q9NX07	TSAP1_HUMAN	TRNAU1AP	tRNA selenocysteine 1-associated protein 1	2.75613e+06
Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	2.94758e+07
Q9NX20	RM16_HUMAN	MRPL16	Large ribosomal subunit protein uL16m	1.75816e+07
Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	2.63771e+07
Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	4.38126e+07
Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	3.22159e+07
Q9NX55	HYPK_HUMAN	HYPK	Huntingtin-interacting protein K	1.33166e+07
Q9NX57	RAB20_HUMAN	RAB20	Ras-related protein Rab-20	1.61109e+07
Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	1.44747e+07
Q9NX62	IMPA3_HUMAN	BPNT2	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase	9.61468e+06
Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	5.66056e+07
Q9NX74	DUS2L_HUMAN	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like	1.60634e+06
Q9NX95	SYBU_HUMAN	SYBU	Syntabulin	2.48103e+06
Q9NXA8	SIR5_HUMAN	SIRT5	NAD-dependent protein deacylase sirtuin-5, mitochondrial	5.3281e+06
Q9NXC2	GFOD1_HUMAN	GFOD1	Glucose-fructose oxidoreductase domain-containing protein 1	331999
Q9NXC5	MIO_HUMAN	MIOS	GATOR complex protein MIOS	2.46932e+06
Q9NXD2	MTMRA_HUMAN	MTMR10	Myotubularin-related protein 10	3.39804e+06
Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	9.38204e+06
Q9NXE8	CWC25_HUMAN	CWC25	Pre-mRNA-splicing factor CWC25 homolog	7.35541e+06
Q9NXF1	TEX10_HUMAN	TEX10	Testis-expressed protein 10	9.70733e+06
Q9NXF7	DCA16_HUMAN	DCAF16	DDB1- and CUL4-associated factor 16	5.14328e+06
Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1	2.25374e+07
Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	8.32902e+06
Q9NXN4	GDAP2_HUMAN	GDAP2	Ganglioside-induced differentiation-associated protein 2	2.24511e+06
Q9NXR1	NDE1_HUMAN	NDE1	Nuclear distribution protein nudE homolog 1	2.32987e+06
