Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
Q96MW5	COG8_HUMAN	COG8	Conserved oligomeric Golgi complex subunit 8	6.75482e+06
Q96MX6	DAA10_HUMAN	DNAAF10	Dynein axonemal assembly factor 10	3.63183e+06
Q96N66	MBOA7_HUMAN	MBOAT7	Lysophospholipid acyltransferase 7	1.95135e+07
Q96N67	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7	6.26968e+06
Q96NC0	ZMAT2_HUMAN	ZMAT2	Zinc finger matrin-type protein 2	4.03661e+06
Q96NE9	FRMD6_HUMAN	FRMD6	FERM domain-containing protein 6	2.15138e+06
Q96NT0	CC115_HUMAN	CCDC115	Coiled-coil domain-containing protein 115	780026
Q96NY7	CLIC6_HUMAN	CLIC6	Chloride intracellular channel protein 6	4.3069e+06
Q96NY8	NECT4_HUMAN	NECTIN4	Nectin-4	7.83479e+06
Q96P11	NSUN5_HUMAN	NSUN5	28S rRNA (cytosine-C(5))-methyltransferase	1.4362e+06
Q96P16	RPR1A_HUMAN	RPRD1A	Regulation of nuclear pre-mRNA domain-containing protein 1A	3.46359e+06
Q96P44	COLA1_HUMAN	COL21A1	Collagen alpha-1(XXI) chain	3.46394e+06
Q96P47	AGAP3_HUMAN	AGAP3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3	1.00889e+06
Q96P48	ARAP1_HUMAN	ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1	9.37732e+06
Q96P63	SPB12_HUMAN	SERPINB12	Serpin B12	3.1762e+06
Q96P70	IPO9_HUMAN	IPO9	Importin-9	9.70887e+06
Q96PC5	MIA2_HUMAN	MIA2	Melanoma inhibitory activity protein 2	6.13165e+06
Q96PD5	PGRP2_HUMAN	PGLYRP2	N-acetylmuramoyl-L-alanine amidase	7.91172e+06
Q96PE2	ARHGH_HUMAN	ARHGEF17	Rho guanine nucleotide exchange factor 17	3.18732e+06
Q96PE3	INP4A_HUMAN	INPP4A	Inositol polyphosphate-4-phosphatase type I A	1.63342e+06
Q96PE7	MCEE_HUMAN	MCEE	Methylmalonyl-CoA epimerase, mitochondrial	3.47356e+06
Q96PK6	RBM14_HUMAN	RBM14	RNA-binding protein 14	3.90379e+07
Q96PM9	Z385A_HUMAN	ZNF385A	Zinc finger protein 385A	1.8181e+06
Q96PP8	GBP5_HUMAN	GBP5	Guanylate-binding protein 5	2.54386e+06
Q96PP9	GBP4_HUMAN	GBP4	Guanylate-binding protein 4	3.07844e+06
Q96PU4	UHRF2_HUMAN	UHRF2	E3 ubiquitin-protein ligase UHRF2	2.43261e+06
Q96PU5	NED4L_HUMAN	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like	5.10252e+06
Q96PU8	QKI_HUMAN	QKI	KH domain-containing RNA-binding protein QKI	2.50763e+07
Q96PZ0	PUS7_HUMAN	PUS7	Pseudouridylate synthase 7 homolog	6.60069e+06
Q96Q11	TRNT1_HUMAN	TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial	1.65885e+07
Q96Q15	SMG1_HUMAN	SMG1	Serine/threonine-protein kinase SMG1	983162
Q96QC0	PP1RA_HUMAN	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	738144
Q96QD9	UIF_HUMAN	FYTTD1	UAP56-interacting factor	6.7341e+06
Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35	8.23691e+07
Q96QR8	PURB_HUMAN	PURB	Transcriptional activator protein Pur-beta	1.10255e+07
Q96RE7	NACC1_HUMAN	NACC1	Nucleus accumbens-associated protein 1	3.89027e+06
Q96RF0	SNX18_HUMAN	SNX18	Sorting nexin-18	8.58362e+06
Q96RK0	CIC_HUMAN	CIC	Protein capicua homolog	4.97703e+06
Q96RN5	MED15_HUMAN	MED15	Mediator of RNA polymerase II transcription subunit 15	673105
Q96RP9	EFGM_HUMAN	GFM1	Elongation factor G, mitochondrial	9.30557e+06
Q96RQ1	ERGI2_HUMAN	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	3.85277e+06
Q96RQ3	MCCA_HUMAN	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	9.88055e+06
Q96RQ9	OXLA_HUMAN	IL4I1	L-amino-acid oxidase	6.34954e+06
Q96RR4	KKCC2_HUMAN	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2	1.11409e+06
Q96RS0	TGS1_HUMAN	TGS1	Trimethylguanosine synthase	529866
Q96RS6	NUDC1_HUMAN	NUDCD1	NudC domain-containing protein 1	7.99111e+06
Q96RT1	ERBIN_HUMAN	ERBIN	Erbin	5.18146e+06
Q96RT7	GCP6_HUMAN	TUBGCP6	Gamma-tubulin complex component 6	1.31668e+07
Q96RU3	FNBP1_HUMAN	FNBP1	Formin-binding protein 1	1.2007e+07
Q96S19	MTL26_HUMAN	METTL26	Methyltransferase-like 26	5.22871e+06
Q96S44	PRPK_HUMAN	TP53RK	EKC/KEOPS complex subunit TP53RK	7.04276e+06
Q96S52	PIGS_HUMAN	PIGS	GPI transamidase component PIG-S	4.85573e+06
Q96S55	WRIP1_HUMAN	WRNIP1	ATPase WRNIP1	1.14716e+07
Q96S59	RANB9_HUMAN	RANBP9	Ran-binding protein 9	2.40735e+06
Q96S66	CLCC1_HUMAN	CLCC1	Chloride channel CLIC-like protein 1	3.55602e+06
Q96S82	UBL7_HUMAN	UBL7	Ubiquitin-like protein 7	2.40393e+06
Q96S86	HPLN3_HUMAN	HAPLN3	Hyaluronan and proteoglycan link protein 3	2.19412e+06
Q96S97	MYADM_HUMAN	MYADM	Myeloid-associated differentiation marker	3.56003e+07
Q96SB3	NEB2_HUMAN	PPP1R9B	Neurabin-2	7.30418e+06
Q96SB4	SRPK1_HUMAN	SRPK1	SRSF protein kinase 1	8.27261e+06
Q96SB8	SMC6_HUMAN	SMC6	Structural maintenance of chromosomes protein 6	1.0423e+06
Q96SI1	KCD15_HUMAN	KCTD15	BTB/POZ domain-containing protein KCTD15	2.25394e+06
Q96SI9	STRBP_HUMAN	STRBP	Spermatid perinuclear RNA-binding protein	5.40369e+06
Q96SK2	TM209_HUMAN	TMEM209	Transmembrane protein 209	1.15545e+06
Q96SL4	GPX7_HUMAN	GPX7	Glutathione peroxidase 7	2.39445e+06
Q96SM3	CPXM1_HUMAN	CPXM1	Probable carboxypeptidase X1	4.24103e+06
Q96SQ9	CP2S1_HUMAN	CYP2S1	Cytochrome P450 2S1	3.13081e+07
Q96ST2	IWS1_HUMAN	IWS1	Protein IWS1 homolog	5.94265e+06
Q96ST3	SIN3A_HUMAN	SIN3A	Paired amphipathic helix protein Sin3a	7.03467e+06
Q96SU4	OSBL9_HUMAN	OSBPL9	Oxysterol-binding protein-related protein 9	4.34787e+06
Q96SW2	CRBN_HUMAN	CRBN	Protein cereblon	1.67945e+06
Q96SZ5	AEDO_HUMAN	ADO	2-aminoethanethiol dioxygenase	3.21243e+06
Q96T23	RSF1_HUMAN	RSF1	Remodeling and spacing factor 1	2.99406e+06
Q96T37	RBM15_HUMAN	RBM15	RNA-binding protein 15	6.18581e+06
Q96T51	RUFY1_HUMAN	RUFY1	RUN and FYVE domain-containing protein 1	6.79588e+06
Q96T58	MINT_HUMAN	SPEN	Msx2-interacting protein	3.78721e+06
Q96T60	PNKP_HUMAN	PNKP	Bifunctional polynucleotide phosphatase/kinase	7.05284e+07
Q96T66	NMNA3_HUMAN	NMNAT3	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3	1.29257e+06
Q96T76	MMS19_HUMAN	MMS19	MMS19 nucleotide excision repair protein homolog	7.2656e+06
Q96T88	UHRF1_HUMAN	UHRF1	E3 ubiquitin-protein ligase UHRF1	4.26352e+06
Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	3.26914e+07
Q96TC7	RMD3_HUMAN	RMDN3	Regulator of microtubule dynamics protein 3	5.5849e+06
Q99102	MUC4_HUMAN	MUC4	Mucin-4	9.98026e+06
Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	4.94944e+06
Q99418	CYH2_HUMAN	CYTH2	Cytohesin-2	4.27574e+06
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B	2.69088e+07
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	2.66996e+07
Q99439	CNN2_HUMAN	CNN2	Calponin-2	7.84044e+07
Q99442	SEC62_HUMAN	SEC62	Translocation protein SEC62	254449
Q99447	PCY2_HUMAN	PCYT2	Ethanolamine-phosphate cytidylyltransferase	4.46728e+06
Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	4.70664e+07
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	2.54994e+07
Q99470	SDF2_HUMAN	SDF2	Stromal cell-derived factor 2	3.48717e+06
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	8.79761e+06
Q99487	PAFA2_HUMAN	PAFAH2	Platelet-activating factor acetylhydrolase 2, cytoplasmic	841292
Q99496	RING2_HUMAN	RNF2	E3 ubiquitin-protein ligase RING2	5.02354e+06
Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	1.72695e+08
Q99519	NEUR1_HUMAN	NEU1	Sialidase-1	3.43162e+06
Q99523	SORT_HUMAN	SORT1	Sortilin	857613
Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	6.59224e+07
Q99538	LGMN_HUMAN	LGMN	Legumain	1.47984e+07
Q99543	DNJC2_HUMAN	DNAJC2	DnaJ homolog subfamily C member 2	5.54981e+06
Q99567	NUP88_HUMAN	NUP88	Nuclear pore complex protein Nup88	1.31197e+07
Q99569	PKP4_HUMAN	PKP4	Plakophilin-4	1.03441e+08
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	5.70837e+06
Q99575	POP1_HUMAN	POP1	Ribonucleases P/MRP protein subunit POP1	3.27956e+06
Q99584	S10AD_HUMAN	S100A13	Protein S100-A13	2.76895e+07
Q99590	SCAFB_HUMAN	SCAF11	Protein SCAF11	2.85789e+06
Q99594	TEAD3_HUMAN	TEAD3	Transcriptional enhancer factor TEF-5	7.10009e+06
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X	1.25776e+07
Q99611	SPS2_HUMAN	SEPHS2	Selenide, water dikinase 2	5.3017e+06
Q99613	EIF3C_HUMAN	EIF3C	Eukaryotic translation initiation factor 3 subunit C	3.03724e+07
Q99614	TTC1_HUMAN	TTC1	Tetratricopeptide repeat protein 1	8.05563e+06
Q99615	DNJC7_HUMAN	DNAJC7	DnaJ homolog subfamily C member 7	2.16978e+07
Q99622	C10_HUMAN	C12orf57	Protein C10	3.47906e+06
Q99623	PHB2_HUMAN	PHB2	Prohibitin-2	1.028e+08
Q99627	CSN8_HUMAN	COPS8	COP9 signalosome complex subunit 8	1.71309e+07
Q99638	RAD9A_HUMAN	RAD9A	Cell cycle checkpoint control protein RAD9A	736220
Q99653	CHP1_HUMAN	CHP1	Calcineurin B homologous protein 1	1.5205e+07
Q99661	KIF2C_HUMAN	KIF2C	Kinesin-like protein KIF2C	1.12039e+06
Q99683	M3K5_HUMAN	MAP3K5	Mitogen-activated protein kinase kinase kinase 5	2.35618e+06
Q99700	ATX2_HUMAN	ATXN2	Ataxin-2	3.46167e+06
Q99707	METH_HUMAN	MTR	Methionine synthase	2.38294e+06
Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	9.43752e+07
Q99715	COCA1_HUMAN	COL12A1	Collagen alpha-1(XII) chain	1.1613e+08
Q99719	SEPT5_HUMAN	SEPTIN5	Septin-5	3.17429e+06
Q99720	SGMR1_HUMAN	SIGMAR1	Sigma non-opioid intracellular receptor 1	6.13272e+06
Q99729	ROAA_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	4.33815e+07
Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4	4.88254e+07
Q99735	MGST2_HUMAN	MGST2	Microsomal glutathione S-transferase 2	1.05421e+07
Q99747	SNAG_HUMAN	NAPG	Gamma-soluble NSF attachment protein	3.75853e+06
Q99757	THIOM_HUMAN	TXN2	Thioredoxin, mitochondrial	4.65927e+06
Q99759	M3K3_HUMAN	MAP3K3	Mitogen-activated protein kinase kinase kinase 3	1.33148e+07
Q99766	ATP5S_HUMAN	DMAC2L	ATP synthase subunit s, mitochondrial	1.78268e+06
Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	5.37787e+07
Q99805	TM9S2_HUMAN	TM9SF2	Transmembrane 9 superfamily member 2	3.41784e+06
Q99807	COQ7_HUMAN	COQ7	5-demethoxyubiquinone hydroxylase, mitochondrial	7.84784e+06
Q99816	TS101_HUMAN	TSG101	Tumor susceptibility gene 101 protein	1.15355e+07
Q99828	CIB1_HUMAN	CIB1	Calcium and integrin-binding protein 1	1.12016e+06
Q99829	CPNE1_HUMAN	CPNE1	Copine-1	8.80046e+07
Q99832	TCPH_HUMAN	CCT7	T-complex protein 1 subunit eta	5.09694e+07
Q99836	MYD88_HUMAN	MYD88	Myeloid differentiation primary response protein MyD88	6.39501e+06
Q99848	EBP2_HUMAN	EBNA1BP2	Probable rRNA-processing protein EBP2	6.54637e+06
Q99873	ANM1_HUMAN	PRMT1	Protein arginine N-methyltransferase 1	2.56833e+07
Q99895	CTRC_HUMAN	CTRC	Chymotrypsin-C	276613
Q99933	BAG1_HUMAN	BAG1	BAG family molecular chaperone regulator 1	4.29408e+06
Q99943	PLCA_HUMAN	AGPAT1	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	4.92125e+06
Q99952	PTN18_HUMAN	PTPN18	Tyrosine-protein phosphatase non-receptor type 18	2.54309e+06
Q99959	PKP2_HUMAN	PKP2	Plakophilin-2	7.14395e+06
Q99961	SH3G1_HUMAN	SH3GL1	Endophilin-A2	5.77496e+07
Q99969	RARR2_HUMAN	RARRES2	Retinoic acid receptor responder protein 2	3.58443e+06
Q99973	TEP1_HUMAN	TEP1	Telomerase protein component 1	2.07147e+06
Q99985	SEM3C_HUMAN	SEMA3C	Semaphorin-3C	1.25501e+06
Q99986	VRK1_HUMAN	VRK1	Serine/threonine-protein kinase VRK1	2.47965e+06
Q99996	AKAP9_HUMAN	AKAP9	A-kinase anchor protein 9	1.31208e+06
Q9BPW8	NIPS1_HUMAN	NIPSNAP1	Protein NipSnap homolog 1	5.18985e+06
Q9BPX3	CND3_HUMAN	NCAPG	Condensin complex subunit 3	368318
Q9BPX5	ARP5L_HUMAN	ARPC5L	Actin-related protein 2/3 complex subunit 5-like protein	3.06098e+07
Q9BPZ7	SIN1_HUMAN	MAPKAP1	Target of rapamycin complex 2 subunit MAPKAP1	1.74148e+06
Q9BQ04	RBM4B_HUMAN	RBM4B	RNA-binding protein 4B	705705
Q9BQ39	DDX50_HUMAN	DDX50	ATP-dependent RNA helicase DDX50	1.15334e+07
Q9BQ48	RM34_HUMAN	MRPL34	Large ribosomal subunit protein bL34m	2.78664e+06
Q9BQ52	RNZ2_HUMAN	ELAC2	Zinc phosphodiesterase ELAC protein 2	7.95949e+06
Q9BQ61	TRIR_HUMAN	TRIR	Telomerase RNA component interacting RNase	7.64696e+06
Q9BQ67	GRWD1_HUMAN	GRWD1	Glutamate-rich WD repeat-containing protein 1	9.39442e+06
Q9BQ69	MACD1_HUMAN	MACROD1	ADP-ribose glycohydrolase MACROD1	4.11412e+06
Q9BQ70	TCF25_HUMAN	TCF25	Ribosome quality control complex subunit TCF25	5.22061e+06
Q9BQ75	CMS1_HUMAN	CMSS1	Protein CMSS1	164340
Q9BQA1	MEP50_HUMAN	WDR77	Methylosome protein WDR77	4.28021e+06
Q9BQC3	DPH2_HUMAN	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	860904
Q9BQC6	RT63_HUMAN	MRPL57	Large ribosomal subunit protein mL63	1.38064e+06
Q9BQE3	TBA1C_HUMAN	TUBA1C	Tubulin alpha-1C chain	6.41876e+08
Q9BQE4	SELS_HUMAN	SELENOS	Selenoprotein S	2.23112e+06
Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2	1.27435e+07
Q9BQG0	MBB1A_HUMAN	MYBBP1A	Myb-binding protein 1A	8.78669e+06
Q9BQI0	AIF1L_HUMAN	AIF1L	Allograft inflammatory factor 1-like	893137
Q9BQI9	NRIP2_HUMAN	NRIP2	Nuclear receptor-interacting protein 2	4.29168e+06
Q9BQL6	FERM1_HUMAN	FERMT1	Fermitin family homolog 1	5.53887e+06
Q9BQN1	FA83C_HUMAN	FAM83C	Protein FAM83C	1.03787e+06
Q9BQS8	FYCO1_HUMAN	FYCO1	FYVE and coiled-coil domain-containing protein 1	3.71181e+06
Q9BR61	ACBD6_HUMAN	ACBD6	Acyl-CoA-binding domain-containing protein 6	985706
Q9BR76	COR1B_HUMAN	CORO1B	Coronin-1B	6.52989e+07
Q9BRA2	TXD17_HUMAN	TXNDC17	Thioredoxin domain-containing protein 17	8.47098e+07
Q9BRF8	CPPED_HUMAN	CPPED1	Serine/threonine-protein phosphatase CPPED1	9.70123e+06
Q9BRG1	VPS25_HUMAN	VPS25	Vacuolar protein-sorting-associated protein 25	8.42212e+06
Q9BRJ2	RM45_HUMAN	MRPL45	Large ribosomal subunit protein mL45	4.20192e+06
Q9BRJ6	CG050_HUMAN	C7orf50	Uncharacterized protein C7orf50	1.968e+06
Q9BRJ7	TIRR_HUMAN	NUDT16L1	Tudor-interacting repair regulator protein	2.93803e+06
Q9BRK3	MXRA8_HUMAN	MXRA8	Matrix remodeling-associated protein 8	4.3731e+06
Q9BRK5	CAB45_HUMAN	SDF4	45 kDa calcium-binding protein	3.61286e+06
Q9BRP4	PAAF1_HUMAN	PAAF1	Proteasomal ATPase-associated factor 1	3.01282e+06
Q9BRP8	PYM1_HUMAN	PYM1	Partner of Y14 and mago	8.94404e+06
Q9BRQ6	MIC25_HUMAN	CHCHD6	MICOS complex subunit MIC25	8.94258e+06
Q9BRR6	ADPGK_HUMAN	ADPGK	ADP-dependent glucokinase	2.23163e+06
Q9BRR9	RHG09_HUMAN	ARHGAP9	Rho GTPase-activating protein 9	1.51001e+06
Q9BRT2	UQCC2_HUMAN	UQCC2	Ubiquinol-cytochrome-c reductase complex assembly factor 2	481920
Q9BRT3	MIEN1_HUMAN	MIEN1	Migration and invasion enhancer 1	7.22088e+06
Q9BRT6	LLPH_HUMAN	LLPH	Protein LLP homolog	5.28844e+06
Q9BRT9	SLD5_HUMAN	GINS4	DNA replication complex GINS protein SLD5	3.20638e+06
Q9BRX2	PELO_HUMAN	PELO	Protein pelota homolog	1.62446e+06
Q9BRX5	PSF3_HUMAN	GINS3	DNA replication complex GINS protein PSF3	3.98172e+06
Q9BRX8	PXL2A_HUMAN	PRXL2A	Peroxiredoxin-like 2A	9.98496e+06
Q9BRZ2	TRI56_HUMAN	TRIM56	E3 ubiquitin-protein ligase TRIM56	4.45281e+06
Q9BS26	ERP44_HUMAN	ERP44	Endoplasmic reticulum resident protein 44	2.82968e+07
Q9BS40	LXN_HUMAN	LXN	Latexin	2.57153e+07
Q9BSB4	ATGA1_HUMAN	ATG101	Autophagy-related protein 101	698584
Q9BSC4	NOL10_HUMAN	NOL10	Nucleolar protein 10	1.49342e+06
Q9BSD7	NTPCR_HUMAN	NTPCR	Cancer-related nucleoside-triphosphatase	9.54864e+06
Q9BSH4	TACO1_HUMAN	TACO1	Translational activator of cytochrome c oxidase 1	2.24845e+06
Q9BSH5	HDHD3_HUMAN	HDHD3	Haloacid dehalogenase-like hydrolase domain-containing protein 3	1.00927e+07
Q9BSJ2	GCP2_HUMAN	TUBGCP2	Gamma-tubulin complex component 2	1.30081e+07
Q9BSJ8	ESYT1_HUMAN	ESYT1	Extended synaptotagmin-1	3.17271e+08
Q9BSL1	UBAC1_HUMAN	UBAC1	Ubiquitin-associated domain-containing protein 1	2.01212e+06
Q9BST9	RTKN_HUMAN	RTKN	Rhotekin	4.17945e+06
Q9BSU1	PHAF1_HUMAN	PHAF1	Phagosome assembly factor 1	1.32659e+06
Q9BSV6	SEN34_HUMAN	TSEN34	tRNA-splicing endonuclease subunit Sen34	2.40436e+06
Q9BT09	CNPY3_HUMAN	CNPY3	Protein canopy homolog 3	1.52939e+07
Q9BT17	MTG1_HUMAN	MTG1	Mitochondrial ribosome-associated GTPase 1	2.1151e+06
Q9BT22	ALG1_HUMAN	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase	903007
Q9BT23	LIMD2_HUMAN	LIMD2	LIM domain-containing protein 2	2.13179e+06
Q9BT73	PSMG3_HUMAN	PSMG3	Proteasome assembly chaperone 3	1.75422e+06
Q9BT78	CSN4_HUMAN	COPS4	COP9 signalosome complex subunit 4	1.82051e+07
Q9BTA9	WAC_HUMAN	WAC	WW domain-containing adapter protein with coiled-coil	309483
Q9BTC0	DIDO1_HUMAN	DIDO1	Death-inducer obliterator 1	2.23974e+06
Q9BTC8	MTA3_HUMAN	MTA3	Metastasis-associated protein MTA3	4.50671e+06
Q9BTD8	RBM42_HUMAN	RBM42	RNA-binding protein 42	5.60634e+06
Q9BTE3	MCMBP_HUMAN	MCMBP	Mini-chromosome maintenance complex-binding protein	4.76357e+06
Q9BTE6	AASD1_HUMAN	AARSD1	Alanyl-tRNA editing protein Aarsd1	6.6632e+06
Q9BTE7	DCNL5_HUMAN	DCUN1D5	DCN1-like protein 5	4.51122e+06
Q9BTL3	RAMAC_HUMAN	RAMAC	RNA guanine-N7 methyltransferase activating subunit	4.66356e+06
Q9BTM9	URM1_HUMAN	URM1	Ubiquitin-related modifier 1	1.46831e+07
Q9BTT0	AN32E_HUMAN	ANP32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E	2.28364e+07
Q9BTT6	LRRC1_HUMAN	LRRC1	Leucine-rich repeat-containing protein 1	5.70961e+06
Q9BTU6	P4K2A_HUMAN	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha	4.58605e+06
Q9BTV4	TMM43_HUMAN	TMEM43	Transmembrane protein 43	2.94758e+07
Q9BTW9	TBCD_HUMAN	TBCD	Tubulin-specific chaperone D	5.97051e+06
Q9BTX1	NDC1_HUMAN	NDC1	Nucleoporin NDC1	986359
Q9BTY2	FUCO2_HUMAN	FUCA2	Plasma alpha-L-fucosidase	1.04256e+06
Q9BTY7	HGH1_HUMAN	HGH1	Protein HGH1 homolog	4.41455e+06
Q9BTZ2	DHRS4_HUMAN	DHRS4	Dehydrogenase/reductase SDR family member 4	338112
Q9BU02	THTPA_HUMAN	THTPA	Thiamine-triphosphatase	1.10532e+06
Q9BU23	LMF2_HUMAN	LMF2	Lipase maturation factor 2	4.1644e+06
Q9BU61	NDUF3_HUMAN	NDUFAF3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	5.8385e+06
Q9BU76	MMTA2_HUMAN	MMTAG2	Multiple myeloma tumor-associated protein 2	3.20776e+06
Q9BU89	DOHH_HUMAN	DOHH	Deoxyhypusine hydroxylase	6.58326e+06
Q9BUF5	TBB6_HUMAN	TUBB6	Tubulin beta-6 chain	1.31463e+09
Q9BUH6	PAXX_HUMAN	PAXX	Protein PAXX	1.4141e+07
Q9BUI4	RPC3_HUMAN	POLR3C	DNA-directed RNA polymerase III subunit RPC3	4.5454e+06
Q9BUJ2	HNRL1_HUMAN	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	6.04171e+07
Q9BUK6	MSTO1_HUMAN	MSTO1	Protein misato homolog 1	1.67712e+06
Q9BUL5	PHF23_HUMAN	PHF23	PHD finger protein 23	800346
Q9BUL8	PDC10_HUMAN	PDCD10	Programmed cell death protein 10	3.65077e+07
Q9BUL9	RPP25_HUMAN	RPP25	Ribonuclease P protein subunit p25	2.94174e+06
Q9BUN8	DERL1_HUMAN	DERL1	Derlin-1	2.51694e+06
Q9BUP0	EFHD1_HUMAN	EFHD1	EF-hand domain-containing protein D1	3.43606e+06
Q9BUP3	HTAI2_HUMAN	HTATIP2	Oxidoreductase HTATIP2	1.82524e+07
Q9BUQ8	DDX23_HUMAN	DDX23	Probable ATP-dependent RNA helicase DDX23	3.40584e+07
Q9BUT1	DHRS6_HUMAN	BDH2	Dehydrogenase/reductase SDR family member 6	2.32116e+07
Q9BV10	ALG12_HUMAN	ALG12	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase	3.04566e+06
Q9BV20	MTNA_HUMAN	MRI1	Methylthioribose-1-phosphate isomerase	1.87058e+07
Q9BV38	WDR18_HUMAN	WDR18	WD repeat-containing protein 18	1.69919e+08
Q9BV40	VAMP8_HUMAN	VAMP8	Vesicle-associated membrane protein 8	2.66857e+07
Q9BV44	THUM3_HUMAN	THUMPD3	tRNA (guanine(6)-N2)-methyltransferase THUMP3	4.1016e+06
Q9BV57	MTND_HUMAN	ADI1	Acireductone dioxygenase	1.2425e+07
Q9BV86	NTM1A_HUMAN	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	1.05782e+07
Q9BVA1	TBB2B_HUMAN	TUBB2B	Tubulin beta-2B chain	3.56305e+06
Q9BVC4	LST8_HUMAN	MLST8	Target of rapamycin complex subunit LST8	2.8221e+06
Q9BVC5	ASHWN_HUMAN	C2orf49	Ashwin	2.49146e+06
Q9BVC6	TM109_HUMAN	TMEM109	Transmembrane protein 109	1.39558e+08
Q9BVG4	PBDC1_HUMAN	PBDC1	Protein PBDC1	9.32899e+06
Q9BVI4	NOC4L_HUMAN	NOC4L	Nucleolar complex protein 4 homolog	383180
Q9BVJ6	UT14A_HUMAN	UTP14A	U3 small nucleolar RNA-associated protein 14 homolog A	3.05586e+06
Q9BVJ7	DUS23_HUMAN	DUSP23	Dual specificity protein phosphatase 23	7.26305e+06
Q9BVK6	TMED9_HUMAN	TMED9	Transmembrane emp24 domain-containing protein 9	3.42923e+07
Q9BVL2	NUP58_HUMAN	NUP58	Nucleoporin p58/p45	4.67619e+06
Q9BVL4	SELO_HUMAN	SELENOO	Protein adenylyltransferase SelO, mitochondrial	2.07667e+06
Q9BVM4	GGACT_HUMAN	GGACT	Gamma-glutamylaminecyclotransferase	3.30422e+06
Q9BVP2	GNL3_HUMAN	GNL3	Guanine nucleotide-binding protein-like 3	1.02756e+07
Q9BVQ7	AFG2B_HUMAN	AFG2B	ATPase family gene 2 protein homolog B	4.09001e+06
Q9BVT8	TMUB1_HUMAN	TMUB1	Transmembrane and ubiquitin-like domain-containing protein 1	1.9241e+06
Q9BVV7	TIM21_HUMAN	TIMM21	Mitochondrial import inner membrane translocase subunit Tim21	1.43229e+06
Q9BW04	SARG_HUMAN	SARG	Specifically androgen-regulated gene protein	1.18947e+07
Q9BW19	KIFC1_HUMAN	KIFC1	Kinesin-like protein KIFC1	515603
Q9BW27	NUP85_HUMAN	NUP85	Nuclear pore complex protein Nup85	1.27464e+07
Q9BW30	TPPP3_HUMAN	TPPP3	Tubulin polymerization-promoting protein family member 3	9.86914e+06
Q9BW71	HIRP3_HUMAN	HIRIP3	HIRA-interacting protein 3	2.76939e+06
Q9BW83	IFT27_HUMAN	IFT27	Intraflagellar transport protein 27 homolog	2.71756e+06
Q9BW85	YJU2_HUMAN	YJU2	Splicing factor YJU2	2.64521e+06
Q9BW91	NUDT9_HUMAN	NUDT9	ADP-ribose pyrophosphatase, mitochondrial	4.56835e+06
Q9BW92	SYTM_HUMAN	TARS2	Threonine--tRNA ligase, mitochondrial	3.78386e+07
