Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
Q9BYK8	HELZ2_HUMAN	HELZ2	Helicase with zinc finger domain 2	1.84502e+07
Q9BYN8	RT26_HUMAN	MRPS26	Small ribosomal subunit protein mS26	1.17089e+07
Q9BYT8	NEUL_HUMAN	NLN	Neurolysin, mitochondrial	1.00702e+07
Q9BYZ2	LDH6B_HUMAN	LDHAL6B	L-lactate dehydrogenase A-like 6B	1.88731e+06
Q9BYZ8	REG4_HUMAN	REG4	Regenerating islet-derived protein 4	3.73151e+07
Q9BZ23	PANK2_HUMAN	PANK2	Pantothenate kinase 2, mitochondrial	649320
Q9BZ67;Q9BZ68	FR8P1_HUMAN;FRMD8_HUMAN	FRMD8;FRMD8P1	FERM domain-containing protein 8	797128
Q9BZE4	GTPB4_HUMAN	GTPBP4	GTP-binding protein 4	1.02526e+07
Q9BZE9	ASPC1_HUMAN	ASPSCR1	Tether containing UBX domain for GLUT4	7.66354e+06
Q9BZF1	OSBL8_HUMAN	OSBPL8	Oxysterol-binding protein-related protein 8	5.36914e+06
Q9BZF9	UACA_HUMAN	UACA	Uveal autoantigen with coiled-coil domains and ankyrin repeats	1.23711e+07
Q9BZI7	REN3B_HUMAN	UPF3B	Regulator of nonsense transcripts 3B	5.32511e+06
Q9BZJ0	CRNL1_HUMAN	CRNKL1	Crooked neck-like protein 1	5.79179e+06
Q9BZK7	TBL1R_HUMAN	TBL1XR1	F-box-like/WD repeat-containing protein TBL1XR1	1.30764e+07
Q9BZL1	UBL5_HUMAN	UBL5	Ubiquitin-like protein 5	670464
Q9BZL4	PP12C_HUMAN	PPP1R12C	Protein phosphatase 1 regulatory subunit 12C	2.0606e+07
Q9BZQ6	EDEM3_HUMAN	EDEM3	ER degradation-enhancing alpha-mannosidase-like protein 3	4.69794e+06
Q9BZQ8	NIBA1_HUMAN	NIBAN1	Protein Niban 1	1.4563e+07
Q9BZV1	UBXN6_HUMAN	UBXN6	UBX domain-containing protein 6	1.3821e+07
Q9BZZ5	API5_HUMAN	API5	Apoptosis inhibitor 5	5.18585e+07
Q9C002	NMES1_HUMAN	NMES1	Normal mucosa of esophagus-specific gene 1 protein	4.03258e+07
Q9C005	DPY30_HUMAN	DPY30	Protein dpy-30 homolog	1.96131e+07
Q9C040	TRIM2_HUMAN	TRIM2	Tripartite motif-containing protein 2	2.12371e+08
Q9C099	LRCC1_HUMAN	LRRCC1	Leucine-rich repeat and coiled-coil domain-containing protein 1	1.46347e+06
Q9C0B1	FTO_HUMAN	FTO	Alpha-ketoglutarate-dependent dioxygenase FTO	2.71248e+06
Q9C0B5	ZDHC5_HUMAN	ZDHHC5	Palmitoyltransferase ZDHHC5	5.75477e+06
Q9C0C2	TB182_HUMAN	TNKS1BP1	182 kDa tankyrase-1-binding protein	2.78e+07
Q9C0C9	UBE2O_HUMAN	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme	1.02372e+07
Q9C0E8	LNP_HUMAN	LNPK	Endoplasmic reticulum junction formation protein lunapark	6.62857e+06
Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12	1.64459e+07
Q9GZM7	TINAL_HUMAN	TINAGL1	Tubulointerstitial nephritis antigen-like	3.36943e+07
Q9GZP4	PITH1_HUMAN	PITHD1	PITH domain-containing protein 1	1.83634e+07
Q9GZR7	DDX24_HUMAN	DDX24	ATP-dependent RNA helicase DDX24	6.10143e+06
Q9GZS3	SKI8_HUMAN	SKIC8	Superkiller complex protein 8	1.12223e+07
Q9GZT3	SLIRP_HUMAN	SLIRP	SRA stem-loop-interacting RNA-binding protein, mitochondrial	6.93567e+07
Q9GZT8	NIF3L_HUMAN	NIF3L1	NIF3-like protein 1	1.33803e+07
Q9GZU8	PIP30_HUMAN	PSME3IP1	PSME3-interacting protein	1.10633e+07
Q9GZY8	MFF_HUMAN	MFF	Mitochondrial fission factor	3.3482e+06
Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50	2.14659e+07
Q9GZZ9	UBA5_HUMAN	UBA5	Ubiquitin-like modifier-activating enzyme 5	1.11032e+07
Q9H000	MKRN2_HUMAN	MKRN2	E3 ubiquitin-protein ligase makorin-2	4.17108e+06
Q9H008	LHPP_HUMAN	LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	2.34264e+07
Q9H019	MFR1L_HUMAN	MTFR1L	Mitochondrial fission regulator 1-like	160448
Q9H074	PAIP1_HUMAN	PAIP1	Polyadenylate-binding protein-interacting protein 1	5.73205e+06
Q9H078	CLPB_HUMAN	CLPB	Mitochondrial disaggregase	2.85298e+06
Q9H089	LSG1_HUMAN	LSG1	Large subunit GTPase 1 homolog	5.36288e+06
Q9H098	F107B_HUMAN	FAM107B	Protein FAM107B	5.21086e+07
Q9H0A0	NAT10_HUMAN	NAT10	RNA cytidine acetyltransferase	1.07408e+07
Q9H0A8	COMD4_HUMAN	COMMD4	COMM domain-containing protein 4	4.01838e+06
Q9H0B6	KLC2_HUMAN	KLC2	Kinesin light chain 2	1.06305e+07
Q9H0C8	ILKAP_HUMAN	ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C	1.18607e+07
Q9H0D6	XRN2_HUMAN	XRN2	5'-3' exoribonuclease 2	4.82172e+07
Q9H0E2	TOLIP_HUMAN	TOLLIP	Toll-interacting protein	1.1331e+07
Q9H0H5	RGAP1_HUMAN	RACGAP1	Rac GTPase-activating protein 1	5.63768e+06
Q9H0J4	QRIC2_HUMAN	QRICH2	Glutamine-rich protein 2	1.00753e+07
Q9H0L4	CSTFT_HUMAN	CSTF2T	Cleavage stimulation factor subunit 2 tau variant	1.61264e+06
Q9H0N5	PHS2_HUMAN	PCBD2	Pterin-4-alpha-carbinolamine dehydratase 2	3.25836e+07
Q9H0P0	5NT3A_HUMAN	NT5C3A	Cytosolic 5'-nucleotidase 3A	1.32368e+07
Q9H0R4	HDHD2_HUMAN	HDHD2	Haloacid dehalogenase-like hydrolase domain-containing protein 2	2.16506e+06
Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47	3.64703e+07
Q9H0U3	MAGT1_HUMAN	MAGT1	Magnesium transporter protein 1	5.01697e+06
Q9H0U4	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B	1.78906e+07
Q9H0U6	RM18_HUMAN	MRPL18	Large ribosomal subunit protein uL18m	6.05375e+06
Q9H0W8	SMG9_HUMAN	SMG9	Nonsense-mediated mRNA decay factor SMG9	4.3994e+06
Q9H0W9	CK054_HUMAN	C11orf54	Ester hydrolase C11orf54	9.17658e+06
Q9H1B7	I2BPL_HUMAN	IRF2BPL	Probable E3 ubiquitin-protein ligase IRF2BPL	2.73735e+06
Q9H1D9	RPC6_HUMAN	POLR3F	DNA-directed RNA polymerase III subunit RPC6	1.05268e+06
Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	1.08421e+08
Q9H1E5	TMX4_HUMAN	TMX4	Thioredoxin-related transmembrane protein 4	2.13347e+06
Q9H1H9	KI13A_HUMAN	KIF13A	Kinesin-like protein KIF13A	2.39584e+06
Q9H1Y0	ATG5_HUMAN	ATG5	Autophagy protein 5	2.77222e+06
Q9H223	EHD4_HUMAN	EHD4	EH domain-containing protein 4	1.28725e+07
Q9H267	VP33B_HUMAN	VPS33B	Vacuolar protein sorting-associated protein 33B	1.01834e+07
Q9H269	VPS16_HUMAN	VPS16	Vacuolar protein sorting-associated protein 16 homolog	5.61995e+06
Q9H270	VPS11_HUMAN	VPS11	Vacuolar protein sorting-associated protein 11 homolog	1.19755e+06
Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	4.62697e+08
Q9H2D6	TARA_HUMAN	TRIOBP	TRIO and F-actin-binding protein	1.06116e+07
Q9H2G2	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase	1.54921e+07
Q9H2H8	PPIL3_HUMAN	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3	1.30875e+07
Q9H2J4	PDCL3_HUMAN	PDCL3	Phosducin-like protein 3	7.71268e+06
Q9H2K8	TAOK3_HUMAN	TAOK3	Serine/threonine-protein kinase TAO3	1.03201e+06
Q9H2M9	RBGPR_HUMAN	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit	6.36126e+06
Q9H2P0	ADNP_HUMAN	ADNP	Activity-dependent neuroprotector homeobox protein	7.14293e+06
Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial	1.95844e+07
Q9H2W6	RM46_HUMAN	MRPL46	Large ribosomal subunit protein mL46	9.58091e+06
Q9H2X9	S12A5_HUMAN	SLC12A5	Solute carrier family 12 member 5	235418
Q9H307	PININ_HUMAN	PNN	Pinin	3.44312e+07
Q9H334	FOXP1_HUMAN	FOXP1	Forkhead box protein P1	9.78991e+06
Q9H3G5	CPVL_HUMAN	CPVL	Probable serine carboxypeptidase CPVL	2.40876e+07
Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	5.02766e+07
Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	3.20176e+07
Q9H3P2	NELFA_HUMAN	NELFA	Negative elongation factor A	1.37849e+07
Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60	3.18507e+07
Q9H3Q1	BORG4_HUMAN	CDC42EP4	Cdc42 effector protein 4	1.61641e+07
Q9H3R2	MUC13_HUMAN	MUC13	Mucin-13	7.67186e+07
Q9H3S7	PTN23_HUMAN	PTPN23	Tyrosine-protein phosphatase non-receptor type 23	4.61862e+06
Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	2.28634e+07
Q9H3Z4	DNJC5_HUMAN	DNAJC5	DnaJ homolog subfamily C member 5	4.30146e+06
Q9H425	CA198_HUMAN	C1orf198	Uncharacterized protein C1orf198	3.4229e+07
Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	4.37991e+07
Q9H446	RWDD1_HUMAN	RWDD1	RWD domain-containing protein 1	3.32323e+06
Q9H479	FN3K_HUMAN	FN3K	Fructosamine-3-kinase	6.99798e+06
Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1	7.67014e+06
Q9H4A3	WNK1_HUMAN	WNK1	Serine/threonine-protein kinase WNK1	1.23918e+07
Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B	2.72138e+07
Q9H4A5	GLP3L_HUMAN	GOLPH3L	Golgi phosphoprotein 3-like	9.19352e+06
Q9H4A6	GOLP3_HUMAN	GOLPH3	Golgi phosphoprotein 3	5.90874e+06
Q9H4G0	E41L1_HUMAN	EPB41L1	Band 4.1-like protein 1	9.58574e+06
Q9H4G4	GAPR1_HUMAN	GLIPR2	Golgi-associated plant pathogenesis-related protein 1	4.10981e+07
Q9H4H8	FA83D_HUMAN	FAM83D	Protein FAM83D	2.72479e+06
Q9H4M9	EHD1_HUMAN	EHD1	EH domain-containing protein 1	3.40804e+07
Q9H501	ESF1_HUMAN	ESF1	ESF1 homolog	3.30358e+06
Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1	2.4848e+06
Q9H5N1	RABE2_HUMAN	RABEP2	Rab GTPase-binding effector protein 2	4.35183e+06
Q9H5Q4	TFB2M_HUMAN	TFB2M	Dimethyladenosine transferase 2, mitochondrial	2.93923e+06
Q9H5X1	CIA2A_HUMAN	CIAO2A	Cytosolic iron-sulfur assembly component 2A	8.41233e+06
Q9H6F5	CCD86_HUMAN	CCDC86	Coiled-coil domain-containing protein 86	8.85754e+06
Q9H6R4	NOL6_HUMAN	NOL6	Nucleolar protein 6	785528
Q9H6S0	YTDC2_HUMAN	YTHDC2	3'-5' RNA helicase YTHDC2	1.20782e+06
Q9H6S3	ES8L2_HUMAN	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2	5.1366e+06
Q9H6T0	ESRP2_HUMAN	ESRP2	Epithelial splicing regulatory protein 2	184676
Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	2.45045e+06
Q9H6V9	LDAH_HUMAN	LDAH	Lipid droplet-associated hydrolase	2.64316e+06
Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3	2.14836e+07
Q9H773	DCTP1_HUMAN	DCTPP1	dCTP pyrophosphatase 1	7.33584e+06
Q9H7B2	RPF2_HUMAN	RPF2	Ribosome production factor 2 homolog	4.77461e+06
Q9H7C4	SYNCI_HUMAN	SYNC	Syncoilin	1.02989e+07
Q9H7C9	AAMDC_HUMAN	AAMDC	Mth938 domain-containing protein	2.74478e+07
Q9H7N4	SFR19_HUMAN	SCAF1	Splicing factor, arginine/serine-rich 19	3.9092e+06
Q9H7S9	ZN703_HUMAN	ZNF703	Zinc finger protein 703	422174
Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	3.81514e+06
Q9H814	PHAX_HUMAN	PHAX	Phosphorylated adapter RNA export protein	1.18472e+07
Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z	7.07612e+06
Q9H845	ACAD9_HUMAN	ACAD9	Complex I assembly factor ACAD9, mitochondrial	6.42529e+06
Q9H857	NT5D2_HUMAN	NT5DC2	5'-nucleotidase domain-containing protein 2	1.72271e+06
Q9H8L6	MMRN2_HUMAN	MMRN2	Multimerin-2	2.23788e+06
Q9H8M7	MINY3_HUMAN	MINDY3	Ubiquitin carboxyl-terminal hydrolase MINDY-3	1.34817e+06
Q9H8V3	ECT2_HUMAN	ECT2	Protein ECT2	1.93332e+06
Q9H8W4	PKHF2_HUMAN	PLEKHF2	Pleckstrin homology domain-containing family F member 2	8.42388e+06
Q9H8Y5	ANKZ1_HUMAN	ANKZF1	tRNA endonuclease ANKZF1	4.58583e+06
Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2	2.17705e+07
Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2	5.26353e+07
Q9H944	MED20_HUMAN	MED20	Mediator of RNA polymerase II transcription subunit 20	3.94826e+06
Q9H9A6	LRC40_HUMAN	LRRC40	Leucine-rich repeat-containing protein 40	1.06789e+07
Q9H9B1	EHMT1_HUMAN	EHMT1	Histone-lysine N-methyltransferase EHMT1	1.16552e+06
Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1	1.5354e+07
Q9H9E3	COG4_HUMAN	COG4	Conserved oligomeric Golgi complex subunit 4	5.33313e+06
Q9H9H4	VP37B_HUMAN	VPS37B	Vacuolar protein sorting-associated protein 37B	1.09817e+07
Q9H9S4	CB39L_HUMAN	CAB39L	Calcium-binding protein 39-like	2.75186e+06
Q9H9T3	ELP3_HUMAN	ELP3	Elongator complex protein 3	4.56586e+06
Q9HA64	KT3K_HUMAN	FN3KRP	Ketosamine-3-kinase	2.5372e+07
Q9HA65	TBC17_HUMAN	TBC1D17	TBC1 domain family member 17	509442
Q9HA77	SYCM_HUMAN	CARS2	Probable cysteine--tRNA ligase, mitochondrial	6.33337e+06
Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase	2.85018e+07
Q9HAN9	NMNA1_HUMAN	NMNAT1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	4.40843e+06
Q9HAS0	NJMU_HUMAN	C17orf75	Protein Njmu-R1	4.13585e+06
Q9HAT2	SIAE_HUMAN	SIAE	Sialate O-acetylesterase	1.65903e+07
Q9HAU5	RENT2_HUMAN	UPF2	Regulator of nonsense transcripts 2	1.76111e+07
Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	1.56856e+07
Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	1.828e+07
Q9HB19	PKHA2_HUMAN	PLEKHA2	Pleckstrin homology domain-containing family A member 2	3.58413e+06
Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	2.95552e+07
Q9HB58	SP110_HUMAN	SP110	Sp110 nuclear body protein	2.66772e+06
Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	1.81385e+07
Q9HB90	RRAGC_HUMAN	RRAGC	Ras-related GTP-binding protein C	2.97154e+06
Q9HBH5	RDH14_HUMAN	RDH14	Retinol dehydrogenase 14	6.17083e+06
Q9HBL0	TENS1_HUMAN	TNS1	Tensin-1	1.54183e+08
Q9HBL7	PLRKT_HUMAN	PLGRKT	Plasminogen receptor (KT)	2.51489e+07
Q9HBL8	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1	4.10902e+06
Q9HC07	TM165_HUMAN	TMEM165	Transmembrane protein 165	4.5957e+06
Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	4.75945e+07
Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	5.38808e+07
Q9HC84	MUC5B_HUMAN	MUC5B	Mucin-5B	9.7783e+06
Q9HCB6	SPON1_HUMAN	SPON1	Spondin-1	2.36758e+07
Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	1.26507e+07
Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	7.11941e+06
Q9HCH5	SYTL2_HUMAN	SYTL2	Synaptotagmin-like protein 2	1.11524e+07
Q9HCJ6	VAT1L_HUMAN	VAT1L	Synaptic vesicle membrane protein VAT-1 homolog-like	6.50241e+06
Q9HCN4	GPN1_HUMAN	GPN1	GPN-loop GTPase 1	5.74489e+06
Q9HCS7	SYF1_HUMAN	XAB2	Pre-mRNA-splicing factor SYF1	2.89909e+06
Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein	1.03645e+07
Q9HCY8	S10AE_HUMAN	S100A14	Protein S100-A14	4.24238e+07
Q9HD15	SRA1_HUMAN	SRA1	Steroid receptor RNA activator 1	3.7141e+06
Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	2.07115e+07
Q9HD33	RM47_HUMAN	MRPL47	Large ribosomal subunit protein uL29m	1.02708e+07
Q9HD42	CHM1A_HUMAN	CHMP1A	Charged multivesicular body protein 1a	3.51093e+07
Q9HD89	RETN_HUMAN	RETN	Resistin	1.3331e+07
Q9HDC5	JPH1_HUMAN	JPH1	Junctophilin-1	3.52405e+06
Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	8.72748e+07
Q9NNW7	TRXR2_HUMAN	TXNRD2	Thioredoxin reductase 2, mitochondrial	4.34492e+06
Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3	1.33103e+07
Q9NP66	HM20A_HUMAN	HMG20A	High mobility group protein 20A	1.92382e+06
Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	1.7565e+07
Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	9.62839e+06
Q9NP81	SYSM_HUMAN	SARS2	Serine--tRNA ligase, mitochondrial	3.36609e+06
Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	2.75837e+07
Q9NPA8	ENY2_HUMAN	ENY2	Transcription and mRNA export factor ENY2	9.79796e+06
Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	2.3239e+06
Q9NPF4	OSGEP_HUMAN	OSGEP	tRNA N6-adenosine threonylcarbamoyltransferase	7.56105e+06
Q9NPH2	INO1_HUMAN	ISYNA1	Inositol-3-phosphate synthase 1	1.01185e+07
Q9NPI6	DCP1A_HUMAN	DCP1A	mRNA-decapping enzyme 1A	3.18987e+06
Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	2.36785e+07
Q9NPJ6	MED4_HUMAN	MED4	Mediator of RNA polymerase II transcription subunit 4	2.31653e+06
Q9NPL8	TIDC1_HUMAN	TIMMDC1	Complex I assembly factor TIMMDC1, mitochondrial	3.7089e+06
Q9NPQ8	RIC8A_HUMAN	RIC8A	Synembryn-A	5.62858e+06
Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1	1.56891e+07
Q9NQ48	LZTL1_HUMAN	LZTFL1	Leucine zipper transcription factor-like protein 1	8.47134e+06
Q9NQ50	RM40_HUMAN	MRPL40	Large ribosomal subunit protein mL40	5.46603e+06
Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog	8.12134e+06
Q9NQ79	CRAC1_HUMAN	CRTAC1	Cartilage acidic protein 1	3.60899e+06
Q9NQ88	TIGAR_HUMAN	TIGAR	Fructose-2,6-bisphosphatase TIGAR	1.61068e+07
Q9NQ94	A1CF_HUMAN	A1CF	APOBEC1 complementation factor	2.04501e+07
Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	1.93092e+07
Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	1.92267e+07
Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	3.72612e+07
Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2	4.2169e+07
Q9NQS1	AVEN_HUMAN	AVEN	Cell death regulator Aven	2.9478e+06
Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46	6.52522e+06
Q9NQT8	KI13B_HUMAN	KIF13B	Kinesin-like protein KIF13B	1.20753e+07
Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	3.44652e+07
Q9NQX3	GEPH_HUMAN	GPHN	Gephyrin	1.76538e+07
Q9NQZ2	SAS10_HUMAN	UTP3	Something about silencing protein 10	5.76992e+06
Q9NQZ5	STAR7_HUMAN	STARD7	StAR-related lipid transfer protein 7, mitochondrial	4.62173e+06
Q9NR09	BIRC6_HUMAN	BIRC6	Baculoviral IAP repeat-containing protein 6	2.03038e+06
Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	5.07588e+08
Q9NR19	ACSA_HUMAN	ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic	1.15745e+07
Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	1.42739e+07
Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	3.30343e+07
Q9NR31	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	5.72478e+07
Q9NR33	DPOE4_HUMAN	POLE4	DNA polymerase epsilon subunit 4	507680
Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	6.09518e+07
Q9NR46	SHLB2_HUMAN	SH3GLB2	Endophilin-B2	2.8081e+07
Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma	8.43038e+06
Q9NR56	MBNL1_HUMAN	MBNL1	Muscleblind-like protein 1	2.55539e+07
Q9NRA8	4ET_HUMAN	EIF4ENIF1	Eukaryotic translation initiation factor 4E transporter	4.1923e+06
Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2	8.09661e+06
Q9NRF9	DPOE3_HUMAN	POLE3	DNA polymerase epsilon subunit 3	1.93741e+07
Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A	1.41748e+06
Q9NRN5	OLFL3_HUMAN	OLFML3	Olfactomedin-like protein 3	3.74055e+06
Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	4.69149e+06
Q9NRR5	UBQL4_HUMAN	UBQLN4	Ubiquilin-4	2.44936e+06
Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	1.47258e+07
Q9NRW3	ABC3C_HUMAN	APOBEC3C	DNA dC->dU-editing enzyme APOBEC-3C	3.36502e+06
Q9NRW7	VPS45_HUMAN	VPS45	Vacuolar protein sorting-associated protein 45	6.32565e+06
Q9NRX2	RM17_HUMAN	MRPL17	Large ribosomal subunit protein bL17m	9.50399e+06
Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase	5.10717e+07
Q9NRY4	RHG35_HUMAN	ARHGAP35	Rho GTPase-activating protein 35	3.64718e+06
Q9NRY5	F1142_HUMAN	FAM114A2	Protein FAM114A2	5.30289e+06
Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	1.33162e+07
Q9NS86	LANC2_HUMAN	LANCL2	LanC-like protein 2	3.35938e+06
Q9NS91	RAD18_HUMAN	RAD18	E3 ubiquitin-protein ligase RAD18	2.96717e+06
Q9NSA3	CNBP1_HUMAN	CTNNBIP1	Beta-catenin-interacting protein 1	9.67818e+06
Q9NSC5	HOME3_HUMAN	HOMER3	Homer protein homolog 3	5.62954e+06
Q9NSC7	SIA7A_HUMAN	ST6GALNAC1	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	1.15337e+06
Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	6.05101e+07
Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	8.0145e+07
Q9NSK0	KLC4_HUMAN	KLC4	Kinesin light chain 4	4.09182e+06
Q9NSY0	NRBP2_HUMAN	NRBP2	Nuclear receptor-binding protein 2	895653
Q9NSY1	BMP2K_HUMAN	BMP2K	BMP-2-inducible protein kinase	4.15829e+06
Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	2.08284e+07
Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B	4.29755e+06
Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	6.16726e+06
Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	7.8874e+06
Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	7.6769e+07
Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	1.84725e+07
Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	1.75114e+07
Q9NUB1	ACS2L_HUMAN	ACSS1	Acetyl-coenzyme A synthetase 2-like, mitochondrial	1.58804e+06
Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	7.4628e+06
Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	4.30839e+07
Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	9.93884e+06
Q9NUQ3	TXLNG_HUMAN	TXLNG	Gamma-taxilin	8.41621e+06
Q9NUQ6	SPS2L_HUMAN	SPATS2L	SPATS2-like protein	1.23126e+07
Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3	4.04636e+06
Q9NUQ9	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	2.24272e+07
Q9NUU7	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	2.95682e+07
Q9NUV9	GIMA4_HUMAN	GIMAP4	GTPase IMAP family member 4	7.03166e+06
Q9NUW8	TYDP1_HUMAN	TDP1	Tyrosyl-DNA phosphodiesterase 1	1.83441e+06
Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13	7.86702e+06
Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	2.48768e+06
